OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.133,143.0,ATM 
Linux-Xenial,3.6,amd64,1.0,0.571,125.0,ATM 
Linux-Xenial,3.7,amd64,1.0,0.615,116.0,ATM 
Linux-Bionic,3.7,amd64,1.0,0.375,107.0,ATM 
Linux-Focal,3.7,amd64,1.0,0.8420000000000001,110.0,ATM 
Linux-Xenial,3.7,arm64,1.0,0.75,122.0,ATM 
MacOS,3.7,amd64,1.0,0.4709999999999999,164.0,ATM 
Windows,3.7,amd64,1.0,0.5,222.0,ATM 
Linux-Xenial,3.8,amd64,2.0,0.7,112.0,ATM 
Linux-Xenial,3.6,amd64,2.0,0.462,142.0,ATM 
Linux-Xenial,3.7,amd64,2.0,0.737,131.0,ATM 
Linux-Bionic,3.7,amd64,2.0,0.632,126.0,ATM 
Linux-Focal,3.7,amd64,2.0,0.333,122.0,ATM 
Linux-Xenial,3.7,arm64,2.0,0.706,111.0,ATM 
MacOS,3.7,amd64,2.0,0.533,192.0,ATM 
Windows,3.7,amd64,2.0,0.7,214.0,ATM 
Linux-Xenial,3.8,amd64,3.0,0.667,129.0,ATM 
Linux-Xenial,3.6,amd64,3.0,0.571,154.0,ATM 
Linux-Xenial,3.7,amd64,3.0,0.526,116.0,ATM 
Linux-Bionic,3.7,amd64,3.0,0.706,118.0,ATM 
Linux-Focal,3.7,amd64,3.0,0.727,111.0,ATM 
Linux-Xenial,3.7,arm64,3.0,0.533,117.0,ATM 
MacOS,3.7,amd64,3.0,0.737,196.0,ATM 
Windows,3.7,amd64,3.0,0.8420000000000001,214.0,ATM 
Linux-Xenial,3.8,amd64,4.0,0.6,125.0,ATM 
Linux-Xenial,3.6,amd64,4.0,0.235,130.0,ATM 
Linux-Xenial,3.7,amd64,4.0,0.762,133.0,ATM 
Linux-Bionic,3.7,amd64,4.0,0.625,130.0,ATM 
Linux-Focal,3.7,amd64,4.0,0.667,115.0,ATM 
Linux-Xenial,3.7,arm64,4.0,0.556,129.0,ATM 
MacOS,3.7,amd64,4.0,0.667,186.0,ATM 
Windows,3.7,amd64,4.0,0.762,214.0,ATM 
Linux-Xenial,3.8,amd64,5.0,0.462,140.0,ATM 
Linux-Xenial,3.6,amd64,5.0,0.667,129.0,ATM 
Linux-Xenial,3.7,amd64,5.0,0.429,124.0,ATM 
Linux-Bionic,3.7,amd64,5.0,0.625,104.0,ATM 
Linux-Focal,3.7,amd64,5.0,0.182,109.0,ATM 
Linux-Xenial,3.7,arm64,5.0,0.5,116.0,ATM 
MacOS,3.7,amd64,5.0,0.625,206.0,ATM 
Windows,3.7,amd64,5.0,0.42100000000000004,149.0,ATM 
Linux-Xenial,3.8,amd64,6.0,0.588,109.0,ATM 
Linux-Xenial,3.6,amd64,6.0,0.706,122.0,ATM 
Linux-Xenial,3.7,amd64,6.0,0.667,138.0,ATM 
Linux-Bionic,3.7,amd64,6.0,0.762,111.0,ATM 
Linux-Focal,3.7,amd64,6.0,0.632,111.0,ATM 
Linux-Xenial,3.7,arm64,6.0,0.5,125.0,ATM 
MacOS,3.7,amd64,6.0,0.667,196.0,ATM 
Windows,3.7,amd64,6.0,0.7,226.0,ATM 
Linux-Xenial,3.8,amd64,7.0,0.308,123.0,ATM 
Linux-Xenial,3.6,amd64,7.0,0.533,136.0,ATM 
Linux-Xenial,3.7,amd64,7.0,0.75,140.0,ATM 
Linux-Bionic,3.7,amd64,7.0,0.571,131.0,ATM 
Linux-Focal,3.7,amd64,7.0,0.556,95.0,ATM 
Linux-Xenial,3.7,arm64,7.0,0.7,104.0,ATM 
MacOS,3.7,amd64,7.0,0.667,194.0,ATM 
Windows,3.7,amd64,7.0,0.667,210.0,ATM 
Linux-Xenial,3.8,amd64,8.0,0.5,112.0,ATM 
Linux-Xenial,3.6,amd64,8.0,0.625,134.0,ATM 
Linux-Xenial,3.7,amd64,8.0,0.625,114.0,ATM 
Linux-Bionic,3.7,amd64,8.0,0.667,119.0,ATM 
Linux-Focal,3.7,amd64,8.0,0.706,106.0,ATM 
Linux-Xenial,3.7,arm64,8.0,0.588,147.0,ATM 
MacOS,3.7,amd64,8.0,0.737,187.0,ATM 
Windows,3.7,amd64,8.0,0.625,157.0,ATM 
Linux-Xenial,3.8,amd64,9.0,0.4,124.0,ATM 
Linux-Xenial,3.6,amd64,9.0,0.533,119.0,ATM 
Linux-Xenial,3.7,amd64,9.0,0.615,108.0,ATM 
Linux-Bionic,3.7,amd64,9.0,0.533,109.0,ATM 
Linux-Focal,3.7,amd64,9.0,0.667,125.0,ATM 
Linux-Xenial,3.7,arm64,9.0,0.615,128.0,ATM 
MacOS,3.7,amd64,9.0,0.706,195.0,ATM 
Windows,3.7,amd64,9.0,0.778,217.0,ATM 
Linux-Xenial,3.8,amd64,10.0,0.714,118.0,ATM 
Linux-Xenial,3.6,amd64,10.0,0.571,128.0,ATM 
Linux-Xenial,3.7,amd64,10.0,0.7,126.0,ATM 
Linux-Bionic,3.7,amd64,10.0,0.941,124.0,ATM 
Linux-Focal,3.7,amd64,10.0,0.5,101.0,ATM 
Linux-Xenial,3.7,arm64,10.0,0.533,129.0,ATM 
MacOS,3.7,amd64,10.0,0.4709999999999999,172.0,ATM 
Windows,3.7,amd64,10.0,0.286,221.0,ATM 
Linux-Xenial,3.8,amd64,11.0,0.444,119.0,ATM 
Linux-Xenial,3.6,amd64,11.0,0.667,152.0,ATM 
Linux-Xenial,3.7,amd64,11.0,0.462,125.0,ATM 
Linux-Bionic,3.7,amd64,11.0,0.615,109.0,ATM 
Linux-Focal,3.7,amd64,11.0,0.588,115.0,ATM 
Linux-Xenial,3.7,arm64,11.0,0.5,146.0,ATM 
MacOS,3.7,amd64,11.0,0.75,204.0,ATM 
Windows,3.7,amd64,11.0,0.364,222.0,ATM 
Linux-Xenial,3.8,amd64,12.0,0.588,135.0,ATM 
Linux-Xenial,3.6,amd64,12.0,0.556,117.0,ATM 
Linux-Xenial,3.7,amd64,12.0,0.556,130.0,ATM 
Linux-Bionic,3.7,amd64,12.0,0.632,89.0,ATM 
Linux-Focal,3.7,amd64,12.0,0.375,126.0,ATM 
Linux-Xenial,3.7,arm64,12.0,0.737,122.0,ATM 
MacOS,3.7,amd64,12.0,0.625,195.0,ATM 
Windows,3.7,amd64,12.0,0.42100000000000004,209.0,ATM 
Linux-Xenial,3.8,amd64,13.0,0.75,140.0,ATM 
Linux-Xenial,3.6,amd64,13.0,0.5,119.0,ATM 
Linux-Xenial,3.7,amd64,13.0,0.625,114.0,ATM 
Linux-Bionic,3.7,amd64,13.0,0.429,116.0,ATM 
Linux-Focal,3.7,amd64,13.0,0.667,119.0,ATM 
Linux-Xenial,3.7,arm64,13.0,0.556,121.0,ATM 
MacOS,3.7,amd64,13.0,0.444,201.0,ATM 
Windows,3.7,amd64,13.0,0.615,149.0,ATM 
Linux-Xenial,3.8,amd64,14.0,0.7,129.0,ATM 
