OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.807241,64.0,Feature-Selection 
Linux-Xenial,3.6,amd64,1.0,0.802672,68.0,Feature-Selection 
Linux-Xenial,3.7,amd64,1.0,0.802672,61.0,Feature-Selection 
Linux-Bionic,3.7,amd64,1.0,0.802672,54.0,Feature-Selection 
Linux-Focal,3.7,amd64,1.0,0.802672,54.0,Feature-Selection 
Linux-Xenial,3.7,arm64,1.0,0.802672,60.0,Feature-Selection 
MacOS,3.7,amd64,1.0,0.798202,93.0,Feature-Selection 
Windows,3.7,amd64,1.0,0.798202,135.0,Feature-Selection 
Linux-Xenial,3.8,amd64,2.0,0.809463,64.0,Feature-Selection 
Linux-Xenial,3.6,amd64,2.0,0.802672,70.0,Feature-Selection 
Linux-Xenial,3.7,amd64,2.0,0.800449,62.0,Feature-Selection 
Linux-Bionic,3.7,amd64,2.0,0.802672,52.0,Feature-Selection 
Linux-Focal,3.7,amd64,2.0,0.802672,52.0,Feature-Selection 
Linux-Xenial,3.7,arm64,2.0,0.802672,62.0,Feature-Selection 
MacOS,3.7,amd64,2.0,0.798202,84.0,Feature-Selection 
Windows,3.7,amd64,2.0,0.800449,135.0,Feature-Selection 
Linux-Xenial,3.8,amd64,3.0,0.807241,61.0,Feature-Selection 
Linux-Xenial,3.6,amd64,3.0,0.800449,70.0,Feature-Selection 
Linux-Xenial,3.7,amd64,3.0,0.802672,62.0,Feature-Selection 
Linux-Bionic,3.7,amd64,3.0,0.802672,53.0,Feature-Selection 
Linux-Focal,3.7,amd64,3.0,0.802672,52.0,Feature-Selection 
Linux-Xenial,3.7,arm64,3.0,0.802672,56.0,Feature-Selection 
MacOS,3.7,amd64,3.0,0.798202,95.0,Feature-Selection 
Windows,3.7,amd64,3.0,0.798202,138.0,Feature-Selection 
Linux-Xenial,3.8,amd64,4.0,0.809463,63.0,Feature-Selection 
Linux-Xenial,3.6,amd64,4.0,0.800449,74.0,Feature-Selection 
Linux-Xenial,3.7,amd64,4.0,0.802672,61.0,Feature-Selection 
Linux-Bionic,3.7,amd64,4.0,0.802672,53.0,Feature-Selection 
Linux-Focal,3.7,amd64,4.0,0.802672,54.0,Feature-Selection 
Linux-Xenial,3.7,arm64,4.0,0.802672,56.0,Feature-Selection 
MacOS,3.7,amd64,4.0,0.798202,94.0,Feature-Selection 
Windows,3.7,amd64,4.0,0.800449,145.0,Feature-Selection 
Linux-Xenial,3.8,amd64,5.0,0.807241,61.0,Feature-Selection 
Linux-Xenial,3.6,amd64,5.0,0.800449,70.0,Feature-Selection 
Linux-Xenial,3.7,amd64,5.0,0.800449,62.0,Feature-Selection 
Linux-Bionic,3.7,amd64,5.0,0.802672,53.0,Feature-Selection 
Linux-Focal,3.7,amd64,5.0,0.802672,54.0,Feature-Selection 
Linux-Xenial,3.7,arm64,5.0,0.802672,57.0,Feature-Selection 
MacOS,3.7,amd64,5.0,0.798202,94.0,Feature-Selection 
Windows,3.7,amd64,5.0,0.800449,146.0,Feature-Selection 
Linux-Xenial,3.8,amd64,6.0,0.809463,62.0,Feature-Selection 
Linux-Xenial,3.6,amd64,6.0,0.802672,67.0,Feature-Selection 
Linux-Xenial,3.7,amd64,6.0,0.802672,61.0,Feature-Selection 
Linux-Bionic,3.7,amd64,6.0,0.802672,52.0,Feature-Selection 
Linux-Focal,3.7,amd64,6.0,0.802672,57.0,Feature-Selection 
Linux-Xenial,3.7,arm64,6.0,0.802672,57.0,Feature-Selection 
MacOS,3.7,amd64,6.0,0.798202,89.0,Feature-Selection 
Windows,3.7,amd64,6.0,0.798202,149.0,Feature-Selection 
Linux-Xenial,3.8,amd64,7.0,0.807241,63.0,Feature-Selection 
Linux-Xenial,3.6,amd64,7.0,0.802672,68.0,Feature-Selection 
Linux-Xenial,3.7,amd64,7.0,0.802672,63.0,Feature-Selection 
Linux-Bionic,3.7,amd64,7.0,0.802672,52.0,Feature-Selection 
Linux-Focal,3.7,amd64,7.0,0.802672,53.0,Feature-Selection 
Linux-Xenial,3.7,arm64,7.0,0.802672,56.0,Feature-Selection 
MacOS,3.7,amd64,7.0,0.798202,91.0,Feature-Selection 
Windows,3.7,amd64,7.0,0.802672,132.0,Feature-Selection 
Linux-Xenial,3.8,amd64,8.0,0.807241,64.0,Feature-Selection 
Linux-Xenial,3.6,amd64,8.0,0.802672,69.0,Feature-Selection 
Linux-Xenial,3.7,amd64,8.0,0.802672,63.0,Feature-Selection 
Linux-Bionic,3.7,amd64,8.0,0.802672,52.0,Feature-Selection 
Linux-Focal,3.7,amd64,8.0,0.802672,55.0,Feature-Selection 
Linux-Xenial,3.7,arm64,8.0,0.802672,55.0,Feature-Selection 
MacOS,3.7,amd64,8.0,0.798202,98.0,Feature-Selection 
Windows,3.7,amd64,8.0,0.798202,136.0,Feature-Selection 
Linux-Xenial,3.8,amd64,9.0,0.807241,62.0,Feature-Selection 
Linux-Xenial,3.6,amd64,9.0,0.800449,70.0,Feature-Selection 
Linux-Xenial,3.7,amd64,9.0,0.800449,63.0,Feature-Selection 
Linux-Bionic,3.7,amd64,9.0,0.802672,53.0,Feature-Selection 
Linux-Focal,3.7,amd64,9.0,0.802672,55.0,Feature-Selection 
Linux-Xenial,3.7,arm64,9.0,0.802672,57.0,Feature-Selection 
MacOS,3.7,amd64,9.0,0.798202,92.0,Feature-Selection 
Windows,3.7,amd64,9.0,0.802672,138.0,Feature-Selection 
