OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.158584,137.0,ZOOpt
Linux-Xenial,3.6,amd64,1.0,0.178967,241.0,ZOOpt
Linux-Xenial,3.7,amd64,1.0,0.177198,155.0,ZOOpt
Linux-Bionic,3.7,amd64,1.0,0.140894,156.0,ZOOpt
Linux-Focal,3.7,amd64,1.0,0.123406,156.0,ZOOpt
Linux-Xenial,3.7,arm64,1.0,0.145183,107.0,ZOOpt
MacOS,3.7,amd64,1.0,0.149313,145.0,ZOOpt
Windows,3.7,amd64,1.0,0.160581,161.0,ZOOpt
Linux-Xenial,3.8,amd64,2.0,0.135418,129.0,ZOOpt
Linux-Xenial,3.6,amd64,2.0,0.144908,245.0,ZOOpt
Linux-Xenial,3.7,amd64,2.0,0.156095,154.0,ZOOpt
Linux-Bionic,3.7,amd64,2.0,0.11931,158.0,ZOOpt
Linux-Focal,3.7,amd64,2.0,0.144965,158.0,ZOOpt
Linux-Xenial,3.7,arm64,2.0,0.132983,109.0,ZOOpt
MacOS,3.7,amd64,2.0,0.134313,146.0,ZOOpt
Windows,3.7,amd64,2.0,0.138472,160.0,ZOOpt
Linux-Xenial,3.8,amd64,3.0,0.147691,134.0,ZOOpt
Linux-Xenial,3.6,amd64,3.0,0.137657,242.0,ZOOpt
Linux-Xenial,3.7,amd64,3.0,0.130783,151.0,ZOOpt
Linux-Bionic,3.7,amd64,3.0,0.141017,145.0,ZOOpt
Linux-Focal,3.7,amd64,3.0,0.163423,154.0,ZOOpt
Linux-Xenial,3.7,arm64,3.0,0.147353,108.0,ZOOpt
MacOS,3.7,amd64,3.0,0.145775,141.0,ZOOpt
Windows,3.7,amd64,3.0,0.137054,158.0,ZOOpt
Linux-Xenial,3.8,amd64,4.0,0.142617,136.0,ZOOpt
Linux-Xenial,3.6,amd64,4.0,0.156456,234.0,ZOOpt
Linux-Xenial,3.7,amd64,4.0,0.147579,152.0,ZOOpt
Linux-Bionic,3.7,amd64,4.0,0.157507,150.0,ZOOpt
Linux-Focal,3.7,amd64,4.0,0.140483,156.0,ZOOpt
Linux-Xenial,3.7,arm64,4.0,0.148914,111.0,ZOOpt
MacOS,3.7,amd64,4.0,0.134097,141.0,ZOOpt
Windows,3.7,amd64,4.0,0.141666,158.0,ZOOpt
Linux-Xenial,3.8,amd64,5.0,0.163447,135.0,ZOOpt
Linux-Xenial,3.6,amd64,5.0,0.140045,243.0,ZOOpt
Linux-Xenial,3.7,amd64,5.0,0.139,152.0,ZOOpt
Linux-Bionic,3.7,amd64,5.0,0.159539,149.0,ZOOpt
