OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,18.990493,34.0,choix
Linux-Xenial,3.6,amd64,1.0,18.990308,50.0,choix
Linux-Xenial,3.7,amd64,1.0,18.990226,33.0,choix
Linux-Bionic,3.7,amd64,1.0,18.990349,34.0,choix
Linux-Focal,3.7,amd64,1.0,18.990324,32.0,choix
Linux-Xenial,3.7,arm64,1.0,18.990311,63.0,choix
MacOS,3.7,amd64,1.0,18.990292,91.0,choix
Windows,3.7,amd64,1.0,18.990307,86.0,choix
Linux-Xenial,3.8,amd64,2.0,18.990297,33.0,choix
Linux-Xenial,3.6,amd64,2.0,18.990184,45.0,choix
Linux-Xenial,3.7,amd64,2.0,18.990264,34.0,choix
Linux-Bionic,3.7,amd64,2.0,18.990258,33.0,choix
Linux-Focal,3.7,amd64,2.0,18.990318,32.0,choix
Linux-Xenial,3.7,arm64,2.0,18.990289,73.0,choix
MacOS,3.7,amd64,2.0,18.9904,88.0,choix
Windows,3.7,amd64,2.0,18.990305,91.0,choix
Linux-Xenial,3.8,amd64,3.0,18.990176,32.0,choix
Linux-Xenial,3.6,amd64,3.0,18.990306,44.0,choix
Linux-Xenial,3.7,amd64,3.0,18.990259,33.0,choix
Linux-Bionic,3.7,amd64,3.0,18.99035,34.0,choix
Linux-Focal,3.7,amd64,3.0,18.990492,33.0,choix
Linux-Xenial,3.7,arm64,3.0,18.990282,68.0,choix
MacOS,3.7,amd64,3.0,18.9905,86.0,choix
Windows,3.7,amd64,3.0,18.990299,87.0,choix
Linux-Xenial,3.8,amd64,4.0,18.99056,32.0,choix
Linux-Xenial,3.6,amd64,4.0,18.990231,44.0,choix
Linux-Xenial,3.7,amd64,4.0,18.990319,33.0,choix
Linux-Bionic,3.7,amd64,4.0,18.990336,32.0,choix
Linux-Focal,3.7,amd64,4.0,18.990387,32.0,choix
Linux-Xenial,3.7,arm64,4.0,18.9904,63.0,choix
MacOS,3.7,amd64,4.0,18.990315,83.0,choix
Windows,3.7,amd64,4.0,18.990303,90.0,choix
Linux-Xenial,3.8,amd64,5.0,18.990237,33.0,choix
Linux-Xenial,3.6,amd64,5.0,18.990343,50.0,choix
Linux-Xenial,3.7,amd64,5.0,18.990293,33.0,choix
Linux-Bionic,3.7,amd64,5.0,18.990349,32.0,choix
Linux-Focal,3.7,amd64,5.0,18.990272,32.0,choix
