OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,5.150375,1268.0,delfi
Linux-Xenial,3.6,amd64,1.0,5.150375,1658.0,delfi
Linux-Xenial,3.7,amd64,1.0,5.150375,1166.0,delfi
Linux-Bionic,3.7,amd64,1.0,5.150375,1150.0,delfi
Linux-Focal,3.7,amd64,1.0,5.209411,1261.0,delfi
Linux-Xenial,3.7,arm64,1.0,5.141446,1543.0,delfi
MacOS,3.7,amd64,1.0,5.149503,2911.0,delfi
Windows,3.7,amd64,1.0,5.206941,1398.0,delfi
Linux-Xenial,3.8,amd64,2.0,5.150375,1277.0,delfi
Linux-Xenial,3.6,amd64,2.0,5.150375,1563.0,delfi
Linux-Xenial,3.7,amd64,2.0,5.150375,1187.0,delfi
Linux-Bionic,3.7,amd64,2.0,5.150375,1216.0,delfi
Linux-Focal,3.7,amd64,2.0,5.209411,1192.0,delfi
Linux-Xenial,3.7,arm64,2.0,5.141446,1526.0,delfi
MacOS,3.7,amd64,2.0,5.149503,2946.0,delfi
Windows,3.7,amd64,2.0,5.206941,1402.0,delfi
Linux-Xenial,3.8,amd64,3.0,5.150375,1270.0,delfi
Linux-Xenial,3.6,amd64,3.0,5.150375,1632.0,delfi
Linux-Xenial,3.7,amd64,3.0,5.150375,1212.0,delfi
Linux-Bionic,3.7,amd64,3.0,5.150375,1208.0,delfi
Linux-Focal,3.7,amd64,3.0,5.209411,1252.0,delfi
Linux-Xenial,3.7,arm64,3.0,5.141446,1520.0,delfi
MacOS,3.7,amd64,3.0,5.149503,2988.0,delfi
Windows,3.7,amd64,3.0,5.206941,1394.0,delfi
Linux-Xenial,3.8,amd64,4.0,5.150375,1245.0,delfi
Linux-Xenial,3.6,amd64,4.0,5.150375,1623.0,delfi
Linux-Xenial,3.7,amd64,4.0,5.150375,1221.0,delfi
Linux-Bionic,3.7,amd64,4.0,5.150375,1295.0,delfi
Linux-Focal,3.7,amd64,4.0,5.209411,1240.0,delfi
Linux-Xenial,3.7,arm64,4.0,5.141446,1520.0,delfi
