OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.853984,568.0,doc2vec
Linux-Xenial,3.6,amd64,1.0,0.841603,589.0,doc2vec
Linux-Xenial,3.7,amd64,1.0,0.847575,591.0,doc2vec
Linux-Bionic,3.7,amd64,1.0,0.847584,642.0,doc2vec
Linux-Focal,3.7,amd64,1.0,0.856388,646.0,doc2vec
Linux-Xenial,3.7,arm64,1.0,0.848375,578.0,doc2vec
MacOS,3.7,amd64,1.0,0.854788,703.0,doc2vec
Windows,3.7,amd64,1.0,0.847613,720.0,doc2vec
Linux-Xenial,3.8,amd64,2.0,0.849603,569.0,doc2vec
Linux-Xenial,3.6,amd64,2.0,0.845965,617.0,doc2vec
Linux-Xenial,3.7,amd64,2.0,0.848814,576.0,doc2vec
Linux-Bionic,3.7,amd64,2.0,0.849611,606.0,doc2vec
Linux-Focal,3.7,amd64,2.0,0.850766,634.0,doc2vec
Linux-Xenial,3.7,arm64,2.0,0.849593,609.0,doc2vec
MacOS,3.7,amd64,2.0,0.845202,618.0,doc2vec
Windows,3.7,amd64,2.0,0.849582,719.0,doc2vec
Linux-Xenial,3.8,amd64,3.0,0.855567,617.0,doc2vec
Linux-Xenial,3.6,amd64,3.0,0.851169,610.0,doc2vec
Linux-Xenial,3.7,amd64,3.0,0.855182,600.0,doc2vec
Linux-Bionic,3.7,amd64,3.0,0.850411,612.0,doc2vec
Linux-Focal,3.7,amd64,3.0,0.852786,653.0,doc2vec
Linux-Xenial,3.7,arm64,3.0,0.855208,598.0,doc2vec
MacOS,3.7,amd64,3.0,0.839981,661.0,doc2vec
Windows,3.7,amd64,3.0,0.848793,702.0,doc2vec
Linux-Xenial,3.8,amd64,4.0,0.844777,580.0,doc2vec
Linux-Xenial,3.6,amd64,4.0,0.844398,596.0,doc2vec
Linux-Xenial,3.7,amd64,4.0,0.842357,580.0,doc2vec
Linux-Bionic,3.7,amd64,4.0,0.845614,649.0,doc2vec
Linux-Focal,3.7,amd64,4.0,0.849166,671.0,doc2vec
Linux-Xenial,3.7,arm64,4.0,0.850382,600.0,doc2vec
MacOS,3.7,amd64,4.0,0.851203,569.0,doc2vec
