OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.619546,66.0,entropy
Linux-Xenial,3.6,amd64,1.0,0.626393,77.0,entropy
Linux-Xenial,3.7,amd64,1.0,0.617478,63.0,entropy
Linux-Bionic,3.7,amd64,1.0,0.617955,53.0,entropy
Linux-Focal,3.7,amd64,1.0,0.628352,56.0,entropy
Linux-Xenial,3.7,arm64,1.0,0.613735,73.0,entropy
MacOS,3.7,amd64,1.0,0.627289,124.0,entropy
Windows,3.7,amd64,1.0,0.626138,156.0,entropy
Linux-Xenial,3.8,amd64,2.0,0.625099,67.0,entropy
Linux-Xenial,3.6,amd64,2.0,0.618428,78.0,entropy
Linux-Xenial,3.7,amd64,2.0,0.612013,62.0,entropy
Linux-Bionic,3.7,amd64,2.0,0.628193,56.0,entropy
Linux-Focal,3.7,amd64,2.0,0.625166,56.0,entropy
Linux-Xenial,3.7,arm64,2.0,0.617335,73.0,entropy
MacOS,3.7,amd64,2.0,0.618881,118.0,entropy
Windows,3.7,amd64,2.0,0.618397,156.0,entropy
Linux-Xenial,3.8,amd64,3.0,0.622926,63.0,entropy
Linux-Xenial,3.6,amd64,3.0,0.621411,81.0,entropy
Linux-Xenial,3.7,amd64,3.0,0.62144,65.0,entropy
Linux-Bionic,3.7,amd64,3.0,0.618285,56.0,entropy
Linux-Focal,3.7,amd64,3.0,0.617282,58.0,entropy
Linux-Xenial,3.7,arm64,3.0,0.622771,71.0,entropy
MacOS,3.7,amd64,3.0,0.626625,124.0,entropy
Windows,3.7,amd64,3.0,0.627444,158.0,entropy
Linux-Xenial,3.8,amd64,4.0,0.618871,66.0,entropy
Linux-Xenial,3.6,amd64,4.0,0.618456,76.0,entropy
Linux-Xenial,3.7,amd64,4.0,0.621143,67.0,entropy
Linux-Bionic,3.7,amd64,4.0,0.626941,56.0,entropy
Linux-Focal,3.7,amd64,4.0,0.615014,56.0,entropy
Linux-Xenial,3.7,arm64,4.0,0.63469,69.0,entropy
MacOS,3.7,amd64,4.0,0.630561,117.0,entropy
