OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.28035,55.0,funk-svd
Linux-Xenial,3.6,amd64,1.0,0.280702,59.0,funk-svd
Linux-Xenial,3.7,amd64,1.0,0.280155,58.0,funk-svd
Linux-Bionic,3.7,amd64,1.0,0.280637,47.0,funk-svd
Linux-Focal,3.7,amd64,1.0,0.279853,46.0,funk-svd
Linux-Xenial,3.7,arm64,1.0,0.280687,54.0,funk-svd
MacOS,3.7,amd64,1.0,0.279082,97.0,funk-svd
Windows,3.7,amd64,1.0,0.281618,145.0,funk-svd
Linux-Xenial,3.8,amd64,2.0,0.279635,58.0,funk-svd
Linux-Xenial,3.6,amd64,2.0,0.280231,60.0,funk-svd
Linux-Xenial,3.7,amd64,2.0,0.280816,54.0,funk-svd
Linux-Bionic,3.7,amd64,2.0,0.278826,46.0,funk-svd
Linux-Focal,3.7,amd64,2.0,0.280434,48.0,funk-svd
Linux-Xenial,3.7,arm64,2.0,0.279934,51.0,funk-svd
MacOS,3.7,amd64,2.0,0.27996,87.0,funk-svd
Windows,3.7,amd64,2.0,0.280841,146.0,funk-svd
Linux-Xenial,3.8,amd64,3.0,0.279129,54.0,funk-svd
Linux-Xenial,3.6,amd64,3.0,0.279742,63.0,funk-svd
Linux-Xenial,3.7,amd64,3.0,0.279161,55.0,funk-svd
Linux-Bionic,3.7,amd64,3.0,0.279398,47.0,funk-svd
Linux-Focal,3.7,amd64,3.0,0.2794,48.0,funk-svd
Linux-Xenial,3.7,arm64,3.0,0.278463,55.0,funk-svd
MacOS,3.7,amd64,3.0,0.280633,90.0,funk-svd
Windows,3.7,amd64,3.0,0.279685,152.0,funk-svd
Linux-Xenial,3.8,amd64,4.0,0.279886,59.0,funk-svd
Linux-Xenial,3.6,amd64,4.0,0.279844,62.0,funk-svd
Linux-Xenial,3.7,amd64,4.0,0.281151,55.0,funk-svd
Linux-Bionic,3.7,amd64,4.0,0.279426,47.0,funk-svd
Linux-Focal,3.7,amd64,4.0,0.279906,47.0,funk-svd
Linux-Xenial,3.7,arm64,4.0,0.280798,55.0,funk-svd
MacOS,3.7,amd64,4.0,0.279945,92.0,funk-svd
Windows,3.7,amd64,4.0,0.27985,138.0,funk-svd
Linux-Xenial,3.8,amd64,5.0,0.280016,57.0,funk-svd
Linux-Xenial,3.6,amd64,5.0,0.280352,61.0,funk-svd
Linux-Xenial,3.7,amd64,5.0,0.278789,56.0,funk-svd
Linux-Bionic,3.7,amd64,5.0,0.279032,47.0,funk-svd
Linux-Focal,3.7,amd64,5.0,0.27947,46.0,funk-svd
Linux-Xenial,3.7,arm64,5.0,0.280889,53.0,funk-svd
MacOS,3.7,amd64,5.0,0.279949,95.0,funk-svd
Windows,3.7,amd64,5.0,0.280384,135.0,funk-svd
Linux-Xenial,3.8,amd64,6.0,0.27959,55.0,funk-svd
Linux-Xenial,3.6,amd64,6.0,0.279532,63.0,funk-svd
Linux-Xenial,3.7,amd64,6.0,0.280071,59.0,funk-svd
Linux-Bionic,3.7,amd64,6.0,0.280004,47.0,funk-svd
Linux-Focal,3.7,amd64,6.0,0.280231,46.0,funk-svd
Linux-Xenial,3.7,arm64,6.0,0.280134,50.0,funk-svd
MacOS,3.7,amd64,6.0,0.28072,93.0,funk-svd
Windows,3.7,amd64,6.0,0.280638,140.0,funk-svd
Linux-Xenial,3.8,amd64,7.0,0.280613,60.0,funk-svd
Linux-Xenial,3.6,amd64,7.0,0.280624,63.0,funk-svd
Linux-Xenial,3.7,amd64,7.0,0.280404,57.0,funk-svd
Linux-Bionic,3.7,amd64,7.0,0.279563,46.0,funk-svd
Linux-Focal,3.7,amd64,7.0,0.280187,47.0,funk-svd
Linux-Xenial,3.7,arm64,7.0,0.28007,53.0,funk-svd
MacOS,3.7,amd64,7.0,0.279718,89.0,funk-svd
Windows,3.7,amd64,7.0,0.279988,143.0,funk-svd
Linux-Xenial,3.8,amd64,8.0,0.279644,59.0,funk-svd
Linux-Xenial,3.6,amd64,8.0,0.278839,60.0,funk-svd
Linux-Xenial,3.7,amd64,8.0,0.279981,55.0,funk-svd
Linux-Bionic,3.7,amd64,8.0,0.280819,47.0,funk-svd
Linux-Focal,3.7,amd64,8.0,0.278835,46.0,funk-svd
Linux-Xenial,3.7,arm64,8.0,0.279257,51.0,funk-svd
MacOS,3.7,amd64,8.0,0.279763,86.0,funk-svd
Windows,3.7,amd64,8.0,0.280183,150.0,funk-svd
Linux-Xenial,3.8,amd64,9.0,0.280606,56.0,funk-svd
Linux-Xenial,3.6,amd64,9.0,0.280205,61.0,funk-svd
Linux-Xenial,3.7,amd64,9.0,0.280149,57.0,funk-svd
Linux-Bionic,3.7,amd64,9.0,0.28029,51.0,funk-svd
Linux-Focal,3.7,amd64,9.0,0.280414,45.0,funk-svd
Linux-Xenial,3.7,arm64,9.0,0.279595,53.0,funk-svd
MacOS,3.7,amd64,9.0,0.280271,92.0,funk-svd
Windows,3.7,amd64,9.0,0.279774,134.0,funk-svd
Linux-Xenial,3.8,amd64,10.0,0.280533,56.0,funk-svd
Linux-Xenial,3.6,amd64,10.0,0.280803,61.0,funk-svd
Linux-Xenial,3.7,amd64,10.0,0.280012,57.0,funk-svd
Linux-Bionic,3.7,amd64,10.0,0.279261,46.0,funk-svd
Linux-Focal,3.7,amd64,10.0,0.280703,47.0,funk-svd
Linux-Xenial,3.7,arm64,10.0,0.280066,51.0,funk-svd
MacOS,3.7,amd64,10.0,0.280151,87.0,funk-svd
