OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.87,58.0,healthcareai-py
Linux-Xenial,3.6,amd64,1.0,0.885,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,1.0,0.86,55.0,healthcareai-py
Linux-Bionic,3.7,amd64,1.0,0.845,47.0,healthcareai-py
Linux-Focal,3.7,amd64,1.0,0.88,49.0,healthcareai-py
Linux-Xenial,3.7,arm64,1.0,0.86,51.0,healthcareai-py
MacOS,3.7,amd64,1.0,0.845,111.0,healthcareai-py
Windows,3.7,amd64,1.0,0.86,143.0,healthcareai-py
Linux-Xenial,3.8,amd64,2.0,0.81,56.0,healthcareai-py
Linux-Xenial,3.6,amd64,2.0,0.835,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,2.0,0.815,58.0,healthcareai-py
Linux-Bionic,3.7,amd64,2.0,0.81,48.0,healthcareai-py
Linux-Focal,3.7,amd64,2.0,0.88,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,2.0,0.815,52.0,healthcareai-py
MacOS,3.7,amd64,2.0,0.9,115.0,healthcareai-py
Windows,3.7,amd64,2.0,0.875,158.0,healthcareai-py
Linux-Xenial,3.8,amd64,3.0,0.845,57.0,healthcareai-py
Linux-Xenial,3.6,amd64,3.0,0.87,61.0,healthcareai-py
Linux-Xenial,3.7,amd64,3.0,0.845,52.0,healthcareai-py
Linux-Bionic,3.7,amd64,3.0,0.875,49.0,healthcareai-py
Linux-Focal,3.7,amd64,3.0,0.855,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,3.0,0.865,54.0,healthcareai-py
MacOS,3.7,amd64,3.0,0.88,114.0,healthcareai-py
Windows,3.7,amd64,3.0,0.84,149.0,healthcareai-py
Linux-Xenial,3.8,amd64,4.0,0.845,57.0,healthcareai-py
Linux-Xenial,3.6,amd64,4.0,0.83,63.0,healthcareai-py
Linux-Xenial,3.7,amd64,4.0,0.895,54.0,healthcareai-py
Linux-Bionic,3.7,amd64,4.0,0.86,50.0,healthcareai-py
Linux-Focal,3.7,amd64,4.0,0.895,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,4.0,0.83,52.0,healthcareai-py
MacOS,3.7,amd64,4.0,0.85,110.0,healthcareai-py
Windows,3.7,amd64,4.0,0.885,150.0,healthcareai-py
Linux-Xenial,3.8,amd64,5.0,0.855,59.0,healthcareai-py
Linux-Xenial,3.6,amd64,5.0,0.885,62.0,healthcareai-py
Linux-Xenial,3.7,amd64,5.0,0.87,54.0,healthcareai-py
Linux-Bionic,3.7,amd64,5.0,0.84,46.0,healthcareai-py
