OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.0265,388.0,ivis
Linux-Xenial,3.6,amd64,1.0,0.026,702.0,ivis
Linux-Xenial,3.7,amd64,1.0,0.0275,396.0,ivis
Linux-Bionic,3.7,amd64,1.0,0.0235,392.0,ivis
Linux-Focal,3.7,amd64,1.0,0.0235,417.0,ivis
Linux-Xenial,3.7,arm64,1.0,0.0285,659.0,ivis
MacOS,3.7,amd64,1.0,0.0135,1480.0,ivis
Windows,3.7,amd64,1.0,0.0195,1110.0,ivis
Linux-Xenial,3.8,amd64,2.0,0.0265,369.0,ivis
Linux-Xenial,3.6,amd64,2.0,0.026,693.0,ivis
Linux-Xenial,3.7,amd64,2.0,0.0275,373.0,ivis
Linux-Bionic,3.7,amd64,2.0,0.0235,380.0,ivis
Linux-Focal,3.7,amd64,2.0,0.0235,411.0,ivis
Linux-Xenial,3.7,arm64,2.0,0.0285,655.0,ivis
MacOS,3.7,amd64,2.0,0.0135,1753.0,ivis
Windows,3.7,amd64,2.0,0.0195,1167.0,ivis
Linux-Xenial,3.8,amd64,3.0,0.0265,381.0,ivis
Linux-Xenial,3.6,amd64,3.0,0.026,871.0,ivis
Linux-Xenial,3.7,amd64,3.0,0.0275,403.0,ivis
Linux-Bionic,3.7,amd64,3.0,0.0235,370.0,ivis
Linux-Focal,3.7,amd64,3.0,0.0235,424.0,ivis
Linux-Xenial,3.7,arm64,3.0,0.0285,612.0,ivis
MacOS,3.7,amd64,3.0,0.0135,1741.0,ivis
Windows,3.7,amd64,3.0,0.0195,1232.0,ivis
Linux-Xenial,3.8,amd64,4.0,0.0265,404.0,ivis
Linux-Xenial,3.6,amd64,4.0,0.026,694.0,ivis
Linux-Xenial,3.7,amd64,4.0,0.0275,396.0,ivis
Linux-Bionic,3.7,amd64,4.0,0.0235,384.0,ivis
Linux-Focal,3.7,amd64,4.0,0.0235,382.0,ivis
Linux-Xenial,3.7,arm64,4.0,0.0285,654.0,ivis
MacOS,3.7,amd64,4.0,0.0135,2118.0,ivis
Windows,3.7,amd64,4.0,0.0195,1233.0,ivis
Linux-Xenial,3.8,amd64,5.0,0.0265,383.0,ivis
Linux-Xenial,3.6,amd64,5.0,0.026,756.0,ivis
Linux-Xenial,3.7,amd64,5.0,0.0275,384.0,ivis
Linux-Bionic,3.7,amd64,5.0,0.0235,377.0,ivis
Linux-Focal,3.7,amd64,5.0,0.0235,398.0,ivis
Linux-Xenial,3.7,arm64,5.0,0.0285,617.0,ivis
MacOS,3.7,amd64,5.0,0.0135,1591.0,ivis
Windows,3.7,amd64,5.0,0.0195,1160.0,ivis
Linux-Xenial,3.8,amd64,6.0,0.0265,379.0,ivis
Linux-Xenial,3.6,amd64,6.0,0.026,705.0,ivis
Linux-Xenial,3.7,amd64,6.0,0.0275,385.0,ivis
Linux-Bionic,3.7,amd64,6.0,0.0235,393.0,ivis
Linux-Focal,3.7,amd64,6.0,0.0235,394.0,ivis
Linux-Xenial,3.7,arm64,6.0,0.0285,657.0,ivis
MacOS,3.7,amd64,6.0,0.0135,1555.0,ivis
Windows,3.7,amd64,6.0,0.0195,1170.0,ivis
Linux-Xenial,3.8,amd64,7.0,0.0265,379.0,ivis
Linux-Xenial,3.6,amd64,7.0,0.026,757.0,ivis
Linux-Xenial,3.7,amd64,7.0,0.0275,409.0,ivis
Linux-Bionic,3.7,amd64,7.0,0.0235,391.0,ivis
Linux-Focal,3.7,amd64,7.0,0.0235,392.0,ivis
Linux-Xenial,3.7,arm64,7.0,0.0285,660.0,ivis
MacOS,3.7,amd64,7.0,0.0135,1657.0,ivis
Windows,3.7,amd64,7.0,0.0195,1100.0,ivis
Linux-Xenial,3.8,amd64,8.0,0.0265,372.0,ivis
Linux-Xenial,3.6,amd64,8.0,0.026,677.0,ivis
Linux-Xenial,3.7,amd64,8.0,0.0275,395.0,ivis
Linux-Bionic,3.7,amd64,8.0,0.0235,379.0,ivis
Linux-Focal,3.7,amd64,8.0,0.0235,398.0,ivis
Linux-Xenial,3.7,arm64,8.0,0.0285,663.0,ivis
MacOS,3.7,amd64,8.0,0.0135,1771.0,ivis
Windows,3.7,amd64,8.0,0.0195,1169.0,ivis
