OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,39.017131,47.0,kernel-gof
Linux-Xenial,3.6,amd64,1.0,28.220683,51.0,kernel-gof
Linux-Xenial,3.7,amd64,1.0,24.808183,48.0,kernel-gof
Linux-Bionic,3.7,amd64,1.0,25.329647,38.0,kernel-gof
Linux-Focal,3.7,amd64,1.0,18.83884,38.0,kernel-gof
Linux-Xenial,3.7,arm64,1.0,25.638983,42.0,kernel-gof
MacOS,3.7,amd64,1.0,31.767686,78.0,kernel-gof
Windows,3.7,amd64,1.0,33.080629,151.0,kernel-gof
Linux-Xenial,3.8,amd64,2.0,24.785803,47.0,kernel-gof
Linux-Xenial,3.6,amd64,2.0,39.506466,52.0,kernel-gof
Linux-Xenial,3.7,amd64,2.0,22.267995,47.0,kernel-gof
Linux-Bionic,3.7,amd64,2.0,30.341956,38.0,kernel-gof
Linux-Focal,3.7,amd64,2.0,22.782506,39.0,kernel-gof
Linux-Xenial,3.7,arm64,2.0,28.060947,44.0,kernel-gof
MacOS,3.7,amd64,2.0,28.81975,78.0,kernel-gof
Windows,3.7,amd64,2.0,29.979036,127.0,kernel-gof
Linux-Xenial,3.8,amd64,3.0,26.093386,47.0,kernel-gof
Linux-Xenial,3.6,amd64,3.0,30.106105,53.0,kernel-gof
Linux-Xenial,3.7,amd64,3.0,24.578687,46.0,kernel-gof
Linux-Bionic,3.7,amd64,3.0,24.564511,36.0,kernel-gof
Linux-Focal,3.7,amd64,3.0,27.035089,37.0,kernel-gof
Linux-Xenial,3.7,arm64,3.0,29.851206,42.0,kernel-gof
MacOS,3.7,amd64,3.0,29.072717,80.0,kernel-gof
Windows,3.7,amd64,3.0,24.956279,128.0,kernel-gof
Linux-Xenial,3.8,amd64,4.0,34.731316,48.0,kernel-gof
Linux-Xenial,3.6,amd64,4.0,34.548943,53.0,kernel-gof
Linux-Xenial,3.7,amd64,4.0,22.816026,47.0,kernel-gof
Linux-Bionic,3.7,amd64,4.0,30.48443,38.0,kernel-gof
Linux-Focal,3.7,amd64,4.0,23.265306,38.0,kernel-gof
Linux-Xenial,3.7,arm64,4.0,22.266683,42.0,kernel-gof
MacOS,3.7,amd64,4.0,25.140928,74.0,kernel-gof
Windows,3.7,amd64,4.0,30.871108,126.0,kernel-gof
Linux-Xenial,3.8,amd64,5.0,31.708618,44.0,kernel-gof
Linux-Xenial,3.6,amd64,5.0,32.210074,52.0,kernel-gof
Linux-Xenial,3.7,amd64,5.0,27.160044,45.0,kernel-gof
Linux-Bionic,3.7,amd64,5.0,24.804325,37.0,kernel-gof
Linux-Focal,3.7,amd64,5.0,26.868313,37.0,kernel-gof
Linux-Xenial,3.7,arm64,5.0,25.136663,44.0,kernel-gof
MacOS,3.7,amd64,5.0,37.090649,74.0,kernel-gof
Windows,3.7,amd64,5.0,38.418247,139.0,kernel-gof
Linux-Xenial,3.8,amd64,6.0,31.727073,48.0,kernel-gof
Linux-Xenial,3.6,amd64,6.0,30.76981,52.0,kernel-gof
Linux-Xenial,3.7,amd64,6.0,30.720095,44.0,kernel-gof
Linux-Bionic,3.7,amd64,6.0,38.34648,37.0,kernel-gof
Linux-Focal,3.7,amd64,6.0,26.143135,39.0,kernel-gof
Linux-Xenial,3.7,arm64,6.0,36.79055,44.0,kernel-gof
MacOS,3.7,amd64,6.0,78.398448,77.0,kernel-gof
Windows,3.7,amd64,6.0,38.30665,139.0,kernel-gof
Linux-Xenial,3.8,amd64,7.0,28.016859,46.0,kernel-gof
Linux-Xenial,3.6,amd64,7.0,33.645266,55.0,kernel-gof
Linux-Xenial,3.7,amd64,7.0,25.423835,46.0,kernel-gof
Linux-Bionic,3.7,amd64,7.0,23.021503,37.0,kernel-gof
Linux-Focal,3.7,amd64,7.0,41.78703,38.0,kernel-gof
Linux-Xenial,3.7,arm64,7.0,23.795225,41.0,kernel-gof
MacOS,3.7,amd64,7.0,39.126741,77.0,kernel-gof
Windows,3.7,amd64,7.0,25.761667,152.0,kernel-gof
Linux-Xenial,3.8,amd64,8.0,35.762993,49.0,kernel-gof
Linux-Xenial,3.6,amd64,8.0,36.376532,52.0,kernel-gof
Linux-Xenial,3.7,amd64,8.0,30.879727,47.0,kernel-gof
Linux-Bionic,3.7,amd64,8.0,42.87497,37.0,kernel-gof
Linux-Focal,3.7,amd64,8.0,39.643539,41.0,kernel-gof
Linux-Xenial,3.7,arm64,8.0,34.225439,46.0,kernel-gof
MacOS,3.7,amd64,8.0,28.503822,77.0,kernel-gof
Windows,3.7,amd64,8.0,39.002353,129.0,kernel-gof
Linux-Xenial,3.8,amd64,9.0,17.790962,48.0,kernel-gof
Linux-Xenial,3.6,amd64,9.0,22.743828,54.0,kernel-gof
Linux-Xenial,3.7,amd64,9.0,24.464979,47.0,kernel-gof
Linux-Bionic,3.7,amd64,9.0,28.230065,38.0,kernel-gof
Linux-Focal,3.7,amd64,9.0,35.034463,40.0,kernel-gof
Linux-Xenial,3.7,arm64,9.0,20.833175,42.0,kernel-gof
MacOS,3.7,amd64,9.0,28.09684,74.0,kernel-gof
Windows,3.7,amd64,9.0,23.103955,130.0,kernel-gof
Linux-Xenial,3.8,amd64,10.0,22.810491,48.0,kernel-gof
Linux-Xenial,3.6,amd64,10.0,31.609974,53.0,kernel-gof
Linux-Xenial,3.7,amd64,10.0,19.772573,47.0,kernel-gof
Linux-Bionic,3.7,amd64,10.0,29.585774,38.0,kernel-gof
Linux-Focal,3.7,amd64,10.0,23.64695,37.0,kernel-gof
Linux-Xenial,3.7,arm64,10.0,23.936753,45.0,kernel-gof
MacOS,3.7,amd64,10.0,22.549221,71.0,kernel-gof
Windows,3.7,amd64,10.0,19.793201,141.0,kernel-gof
Linux-Xenial,3.8,amd64,11.0,19.774741,47.0,kernel-gof
Linux-Xenial,3.6,amd64,11.0,30.676176,54.0,kernel-gof
Linux-Xenial,3.7,amd64,11.0,40.900657,45.0,kernel-gof
Linux-Bionic,3.7,amd64,11.0,31.351418,38.0,kernel-gof
Linux-Focal,3.7,amd64,11.0,22.021302,38.0,kernel-gof
Linux-Xenial,3.7,arm64,11.0,31.594254,42.0,kernel-gof
MacOS,3.7,amd64,11.0,20.631047,78.0,kernel-gof
Windows,3.7,amd64,11.0,23.418983,140.0,kernel-gof
Linux-Xenial,3.8,amd64,12.0,26.783333,46.0,kernel-gof
Linux-Xenial,3.6,amd64,12.0,27.725574,51.0,kernel-gof
Linux-Xenial,3.7,amd64,12.0,29.027116,46.0,kernel-gof
Linux-Bionic,3.7,amd64,12.0,27.750158,36.0,kernel-gof
Linux-Focal,3.7,amd64,12.0,29.415507,37.0,kernel-gof
Linux-Xenial,3.7,arm64,12.0,24.194951,45.0,kernel-gof
MacOS,3.7,amd64,12.0,29.840289,71.0,kernel-gof
Windows,3.7,amd64,12.0,22.156544,152.0,kernel-gof
Linux-Xenial,3.8,amd64,13.0,39.389547,47.0,kernel-gof
Linux-Xenial,3.6,amd64,13.0,22.980843,56.0,kernel-gof
Linux-Xenial,3.7,amd64,13.0,26.414353,46.0,kernel-gof
Linux-Bionic,3.7,amd64,13.0,23.01267,37.0,kernel-gof
Linux-Focal,3.7,amd64,13.0,32.932095,38.0,kernel-gof
Linux-Xenial,3.7,arm64,13.0,34.857086,49.0,kernel-gof
MacOS,3.7,amd64,13.0,25.918276,81.0,kernel-gof
Windows,3.7,amd64,13.0,23.347282,142.0,kernel-gof
Linux-Xenial,3.8,amd64,14.0,22.131248,46.0,kernel-gof
Linux-Xenial,3.6,amd64,14.0,22.386742,54.0,kernel-gof
Linux-Xenial,3.7,amd64,14.0,24.726191,44.0,kernel-gof
Linux-Bionic,3.7,amd64,14.0,32.142739,39.0,kernel-gof
Linux-Focal,3.7,amd64,14.0,27.564872,40.0,kernel-gof
Linux-Xenial,3.7,arm64,14.0,31.820929,45.0,kernel-gof
MacOS,3.7,amd64,14.0,21.106395,78.0,kernel-gof
Windows,3.7,amd64,14.0,30.398612,135.0,kernel-gof
Linux-Xenial,3.8,amd64,15.0,28.191095,45.0,kernel-gof
Linux-Xenial,3.6,amd64,15.0,25.127363,53.0,kernel-gof
Linux-Xenial,3.7,amd64,15.0,42.913308,46.0,kernel-gof
Linux-Bionic,3.7,amd64,15.0,21.99686,37.0,kernel-gof
Linux-Focal,3.7,amd64,15.0,29.966326,38.0,kernel-gof
Linux-Xenial,3.7,arm64,15.0,24.239797,41.0,kernel-gof
MacOS,3.7,amd64,15.0,26.674833,73.0,kernel-gof
Windows,3.7,amd64,15.0,37.637074,139.0,kernel-gof
Linux-Xenial,3.8,amd64,16.0,22.543632,47.0,kernel-gof
Linux-Xenial,3.6,amd64,16.0,39.27777,53.0,kernel-gof
Linux-Xenial,3.7,amd64,16.0,23.142154,45.0,kernel-gof
Linux-Bionic,3.7,amd64,16.0,21.609433,38.0,kernel-gof
Linux-Focal,3.7,amd64,16.0,25.865101,37.0,kernel-gof
Linux-Xenial,3.7,arm64,16.0,28.0108,43.0,kernel-gof
MacOS,3.7,amd64,16.0,28.150535,82.0,kernel-gof
Windows,3.7,amd64,16.0,38.384222,139.0,kernel-gof
Linux-Xenial,3.8,amd64,17.0,31.015944,48.0,kernel-gof
Linux-Xenial,3.6,amd64,17.0,25.256529,52.0,kernel-gof
Linux-Xenial,3.7,amd64,17.0,17.747057,47.0,kernel-gof
Linux-Bionic,3.7,amd64,17.0,27.32373,38.0,kernel-gof
Linux-Focal,3.7,amd64,17.0,21.264997,38.0,kernel-gof
Linux-Xenial,3.7,arm64,17.0,23.284384,45.0,kernel-gof
MacOS,3.7,amd64,17.0,31.436374,81.0,kernel-gof
Windows,3.7,amd64,17.0,27.554653,147.0,kernel-gof
Linux-Xenial,3.8,amd64,18.0,37.735952,45.0,kernel-gof
Linux-Xenial,3.6,amd64,18.0,62.167827,60.0,kernel-gof
Linux-Xenial,3.7,amd64,18.0,35.046822,47.0,kernel-gof
Linux-Bionic,3.7,amd64,18.0,31.069727,37.0,kernel-gof
Linux-Focal,3.7,amd64,18.0,24.409337,39.0,kernel-gof
Linux-Xenial,3.7,arm64,18.0,27.500734,45.0,kernel-gof
MacOS,3.7,amd64,18.0,28.602978,83.0,kernel-gof
Windows,3.7,amd64,18.0,21.078632,134.0,kernel-gof
Linux-Xenial,3.8,amd64,19.0,30.22053,45.0,kernel-gof
Linux-Xenial,3.6,amd64,19.0,24.939994,52.0,kernel-gof
Linux-Xenial,3.7,amd64,19.0,17.204061,46.0,kernel-gof
Linux-Bionic,3.7,amd64,19.0,23.493247,37.0,kernel-gof
Linux-Focal,3.7,amd64,19.0,26.87885,36.0,kernel-gof
Linux-Xenial,3.7,arm64,19.0,31.702263,42.0,kernel-gof
MacOS,3.7,amd64,19.0,40.61548,79.0,kernel-gof
Windows,3.7,amd64,19.0,28.993187,143.0,kernel-gof
Linux-Xenial,3.8,amd64,20.0,35.368095,48.0,kernel-gof
Linux-Xenial,3.6,amd64,20.0,27.521037,51.0,kernel-gof
Linux-Xenial,3.7,amd64,20.0,37.316414,46.0,kernel-gof
Linux-Bionic,3.7,amd64,20.0,23.946841,39.0,kernel-gof
Linux-Focal,3.7,amd64,20.0,36.403867,38.0,kernel-gof
Linux-Xenial,3.7,arm64,20.0,34.109916,45.0,kernel-gof
MacOS,3.7,amd64,20.0,27.57098,80.0,kernel-gof
Windows,3.7,amd64,20.0,27.18911,139.0,kernel-gof
Linux-Xenial,3.8,amd64,21.0,26.434917,48.0,kernel-gof
Linux-Xenial,3.6,amd64,21.0,36.650889,52.0,kernel-gof
Linux-Xenial,3.7,amd64,21.0,31.08222,47.0,kernel-gof
Linux-Bionic,3.7,amd64,21.0,33.031057,39.0,kernel-gof
Linux-Focal,3.7,amd64,21.0,23.0231,37.0,kernel-gof
Linux-Xenial,3.7,arm64,21.0,19.53532,46.0,kernel-gof
MacOS,3.7,amd64,21.0,40.217723,73.0,kernel-gof
Windows,3.7,amd64,21.0,31.533967,133.0,kernel-gof
Linux-Xenial,3.8,amd64,22.0,37.197777,48.0,kernel-gof
Linux-Xenial,3.6,amd64,22.0,27.870381,53.0,kernel-gof
Linux-Xenial,3.7,amd64,22.0,38.79386,45.0,kernel-gof
Linux-Bionic,3.7,amd64,22.0,22.614819,39.0,kernel-gof
Linux-Focal,3.7,amd64,22.0,28.316346,38.0,kernel-gof
Linux-Xenial,3.7,arm64,22.0,42.908178,41.0,kernel-gof
MacOS,3.7,amd64,22.0,25.015848,73.0,kernel-gof
Windows,3.7,amd64,22.0,36.600452,143.0,kernel-gof
Linux-Xenial,3.8,amd64,23.0,37.023954,46.0,kernel-gof
