OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,-0.222518,298.0,lagom
Linux-Xenial,3.6,amd64,1.0,-0.214613,282.0,lagom
Linux-Xenial,3.7,amd64,1.0,-0.171256,271.0,lagom
Linux-Bionic,3.7,amd64,1.0,-0.045246,273.0,lagom
Linux-Focal,3.7,amd64,1.0,-0.045246,275.0,lagom
Linux-Xenial,3.7,arm64,1.0,-0.160136,245.0,lagom
MacOS,3.7,amd64,1.0,0.003385,516.0,lagom
Windows,3.7,amd64,1.0,-0.303474,366.0,lagom
Linux-Xenial,3.8,amd64,2.0,-0.222518,294.0,lagom
Linux-Xenial,3.6,amd64,2.0,-0.214613,260.0,lagom
Linux-Xenial,3.7,amd64,2.0,-0.171256,272.0,lagom
Linux-Bionic,3.7,amd64,2.0,-0.045246,263.0,lagom
Linux-Focal,3.7,amd64,2.0,-0.045246,270.0,lagom
Linux-Xenial,3.7,arm64,2.0,-0.160136,259.0,lagom
MacOS,3.7,amd64,2.0,0.003385,570.0,lagom
Windows,3.7,amd64,2.0,-0.303474,358.0,lagom
Linux-Xenial,3.8,amd64,3.0,-0.222518,307.0,lagom
Linux-Xenial,3.6,amd64,3.0,-0.214613,252.0,lagom
Linux-Xenial,3.7,amd64,3.0,-0.171256,287.0,lagom
Linux-Bionic,3.7,amd64,3.0,-0.045246,260.0,lagom
Linux-Focal,3.7,amd64,3.0,-0.045246,263.0,lagom
Linux-Xenial,3.7,arm64,3.0,-0.160136,266.0,lagom
MacOS,3.7,amd64,3.0,0.003385,402.0,lagom
Windows,3.7,amd64,3.0,-0.303474,365.0,lagom
Linux-Xenial,3.8,amd64,4.0,-0.222518,302.0,lagom
Linux-Xenial,3.6,amd64,4.0,-0.214613,265.0,lagom
Linux-Xenial,3.7,amd64,4.0,-0.171256,272.0,lagom
Linux-Bionic,3.7,amd64,4.0,-0.045246,275.0,lagom
Linux-Focal,3.7,amd64,4.0,-0.045246,270.0,lagom
Linux-Xenial,3.7,arm64,4.0,-0.160136,264.0,lagom
MacOS,3.7,amd64,4.0,0.003385,411.0,lagom
Windows,3.7,amd64,4.0,-0.303474,368.0,lagom
Linux-Xenial,3.8,amd64,5.0,-0.222518,307.0,lagom
Linux-Xenial,3.6,amd64,5.0,-0.214613,259.0,lagom
Linux-Xenial,3.7,amd64,5.0,-0.171256,296.0,lagom
Linux-Bionic,3.7,amd64,5.0,-0.045246,273.0,lagom
Linux-Focal,3.7,amd64,5.0,-0.045246,271.0,lagom
Linux-Xenial,3.7,arm64,5.0,-0.160136,256.0,lagom
MacOS,3.7,amd64,5.0,0.003385,418.0,lagom
Windows,3.7,amd64,5.0,-0.303474,362.0,lagom
Linux-Xenial,3.8,amd64,6.0,-0.222518,307.0,lagom
Linux-Xenial,3.6,amd64,6.0,-0.214613,267.0,lagom
Linux-Xenial,3.7,amd64,6.0,-0.171256,273.0,lagom
Linux-Bionic,3.7,amd64,6.0,-0.045246,269.0,lagom
Linux-Focal,3.7,amd64,6.0,-0.045246,265.0,lagom
