OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.045,638.0,netharn 
Linux-Xenial,3.6,amd64,1.0,0.0477,2970.0,netharn 
Linux-Xenial,3.7,amd64,1.0,0.0463,686.0,netharn 
Linux-Bionic,3.7,amd64,1.0,0.0443,677.0,netharn 
Linux-Focal,3.7,amd64,1.0,0.0428,696.0,netharn 
Linux-Xenial,3.7,arm64,1.0,0.0411,1258.0,netharn 
MacOS,3.7,amd64,1.0,0.0438,5538.0,netharn 
Windows,3.7,amd64,1.0,0.0405,1099.0,netharn 
Linux-Xenial,3.8,amd64,2.0,0.0436,612.0,netharn 
Linux-Xenial,3.6,amd64,2.0,0.1018,2529.0,netharn 
Linux-Xenial,3.7,amd64,2.0,0.0421,692.0,netharn 
Linux-Bionic,3.7,amd64,2.0,0.0421,661.0,netharn 
Linux-Focal,3.7,amd64,2.0,0.0402,702.0,netharn 
Linux-Xenial,3.7,arm64,2.0,0.043,1322.0,netharn 
MacOS,3.7,amd64,2.0,0.0431,5907.0,netharn 
Windows,3.7,amd64,2.0,0.0401,1034.0,netharn 
Linux-Xenial,3.8,amd64,3.0,0.1,231.0,netharn 
Linux-Xenial,3.6,amd64,3.0,0.0424,3152.0,netharn 
Linux-Xenial,3.7,amd64,3.0,0.0363,687.0,netharn 
Linux-Bionic,3.7,amd64,3.0,0.0471,654.0,netharn 
Linux-Focal,3.7,amd64,3.0,0.0432,695.0,netharn 
Linux-Xenial,3.7,arm64,3.0,0.041,1060.0,netharn 
MacOS,3.7,amd64,3.0,0.0451,5624.0,netharn 
Windows,3.7,amd64,3.0,0.0406,1030.0,netharn 
Linux-Xenial,3.8,amd64,4.0,0.042,664.0,netharn 
Linux-Xenial,3.6,amd64,4.0,0.0469,3057.0,netharn 
Linux-Xenial,3.7,amd64,4.0,0.0428,669.0,netharn 
Linux-Bionic,3.7,amd64,4.0,0.046,661.0,netharn 
Linux-Focal,3.7,amd64,4.0,0.0438,697.0,netharn 
Linux-Xenial,3.7,arm64,4.0,0.045,1384.0,netharn 
MacOS,3.7,amd64,4.0,0.0463,5779.0,netharn 
Windows,3.7,amd64,4.0,0.0428,979.0,netharn 
Linux-Xenial,3.8,amd64,5.0,0.0438,650.0,netharn 
Linux-Xenial,3.6,amd64,5.0,0.0422,3069.0,netharn 
Linux-Xenial,3.7,amd64,5.0,0.0445,699.0,netharn 
Linux-Bionic,3.7,amd64,5.0,0.0463,686.0,netharn 
Linux-Focal,3.7,amd64,5.0,0.0458,709.0,netharn 
Linux-Xenial,3.7,arm64,5.0,0.0427,1181.0,netharn 
MacOS,3.7,amd64,5.0,0.048,5562.0,netharn 
Windows,3.7,amd64,5.0,0.0464,968.0,netharn 
Linux-Xenial,3.8,amd64,6.0,0.0768,389.0,netharn 
Linux-Xenial,3.6,amd64,6.0,0.0429,3078.0,netharn 
Linux-Xenial,3.7,amd64,6.0,0.0448,696.0,netharn 
Linux-Bionic,3.7,amd64,6.0,0.085,337.0,netharn 
Linux-Focal,3.7,amd64,6.0,0.0424,679.0,netharn 
Linux-Xenial,3.7,arm64,6.0,0.0482,1197.0,netharn 
MacOS,3.7,amd64,6.0,0.0438,5638.0,netharn 
Windows,3.7,amd64,6.0,0.0443,1043.0,netharn 
Linux-Xenial,3.8,amd64,7.0,0.0436,674.0,netharn 
