OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.8441,963.0,pescador
Linux-Xenial,3.6,amd64,1.0,0.8515,1738.0,pescador
Linux-Xenial,3.7,amd64,1.0,0.8501,965.0,pescador
Linux-Bionic,3.7,amd64,1.0,0.8581,988.0,pescador
Linux-Focal,3.7,amd64,1.0,0.8501,957.0,pescador
Linux-Xenial,3.7,arm64,1.0,0.8528,1608.0,pescador
MacOS,3.7,amd64,1.0,0.8498,2818.0,pescador
Windows,3.7,amd64,1.0,0.8636,2411.0,pescador
Linux-Xenial,3.8,amd64,2.0,0.8458,990.0,pescador
Linux-Xenial,3.6,amd64,2.0,0.8618,1778.0,pescador
Linux-Xenial,3.7,amd64,2.0,0.8564,949.0,pescador
Linux-Bionic,3.7,amd64,2.0,0.8542,991.0,pescador
Linux-Focal,3.7,amd64,2.0,0.853,959.0,pescador
Linux-Xenial,3.7,arm64,2.0,0.851,1589.0,pescador
MacOS,3.7,amd64,2.0,0.8525,2962.0,pescador
Windows,3.7,amd64,2.0,0.8577,2477.0,pescador
Linux-Xenial,3.8,amd64,3.0,0.8401,992.0,pescador
Linux-Xenial,3.6,amd64,3.0,0.8522,1742.0,pescador
Linux-Xenial,3.7,amd64,3.0,0.8634,989.0,pescador
Linux-Bionic,3.7,amd64,3.0,0.8428,981.0,pescador
Linux-Focal,3.7,amd64,3.0,0.854,965.0,pescador
Linux-Xenial,3.7,arm64,3.0,0.8549,1598.0,pescador
MacOS,3.7,amd64,3.0,0.8518,3296.0,pescador
Windows,3.7,amd64,3.0,0.8656,2480.0,pescador
Linux-Xenial,3.8,amd64,4.0,0.8372,977.0,pescador
Linux-Xenial,3.6,amd64,4.0,0.8563,1828.0,pescador
Linux-Xenial,3.7,amd64,4.0,0.8659,1020.0,pescador
Linux-Bionic,3.7,amd64,4.0,0.8558,959.0,pescador
Linux-Focal,3.7,amd64,4.0,0.8588,1051.0,pescador
Linux-Xenial,3.7,arm64,4.0,0.8435,1594.0,pescador
MacOS,3.7,amd64,4.0,0.8487,2802.0,pescador
Windows,3.7,amd64,4.0,0.8455,2477.0,pescador
Linux-Xenial,3.8,amd64,5.0,0.843,913.0,pescador
Linux-Xenial,3.6,amd64,5.0,0.8502,1773.0,pescador
Linux-Xenial,3.7,amd64,5.0,0.86,968.0,pescador
Linux-Bionic,3.7,amd64,5.0,0.8426,988.0,pescador
Linux-Focal,3.7,amd64,5.0,0.8542,1016.0,pescador
Linux-Xenial,3.7,arm64,5.0,0.8563,1609.0,pescador
MacOS,3.7,amd64,5.0,0.8476,2808.0,pescador
Windows,3.7,amd64,5.0,0.8593,2411.0,pescador
Linux-Xenial,3.8,amd64,6.0,0.8427,1002.0,pescador
Linux-Xenial,3.6,amd64,6.0,0.8337,1736.0,pescador
Linux-Xenial,3.7,amd64,6.0,0.853,989.0,pescador
Linux-Bionic,3.7,amd64,6.0,0.8512,1016.0,pescador
Linux-Focal,3.7,amd64,6.0,0.8502,987.0,pescador
Linux-Xenial,3.7,arm64,6.0,0.8602,1568.0,pescador
MacOS,3.7,amd64,6.0,0.8511,3038.0,pescador
Windows,3.7,amd64,6.0,0.865,2530.0,pescador
Linux-Xenial,3.8,amd64,7.0,0.8326,939.0,pescador
Linux-Xenial,3.6,amd64,7.0,0.8521,1740.0,pescador
Linux-Xenial,3.7,amd64,7.0,0.8512,988.0,pescador
Linux-Bionic,3.7,amd64,7.0,0.8397,1048.0,pescador
Linux-Focal,3.7,amd64,7.0,0.8491,1051.0,pescador
Linux-Xenial,3.7,arm64,7.0,0.8654,1558.0,pescador
MacOS,3.7,amd64,7.0,0.8477,3105.0,pescador
Windows,3.7,amd64,7.0,0.8546,2475.0,pescador
Linux-Xenial,3.8,amd64,8.0,0.8445,924.0,pescador
Linux-Xenial,3.6,amd64,8.0,0.8651,1717.0,pescador
Linux-Xenial,3.7,amd64,8.0,0.8563,971.0,pescador
Linux-Bionic,3.7,amd64,8.0,0.8549,988.0,pescador
Linux-Focal,3.7,amd64,8.0,0.8628,961.0,pescador
Linux-Xenial,3.7,arm64,8.0,0.8656,1606.0,pescador
MacOS,3.7,amd64,8.0,0.8591,2982.0,pescador
Windows,3.7,amd64,8.0,0.856,2412.0,pescador
Linux-Xenial,3.8,amd64,9.0,0.8577,890.0,pescador
Linux-Xenial,3.6,amd64,9.0,0.8534,1746.0,pescador
Linux-Xenial,3.7,amd64,9.0,0.8533,998.0,pescador
Linux-Bionic,3.7,amd64,9.0,0.859,1050.0,pescador
Linux-Focal,3.7,amd64,9.0,0.8517,1003.0,pescador
Linux-Xenial,3.7,arm64,9.0,0.8631,1566.0,pescador
MacOS,3.7,amd64,9.0,0.8634,3192.0,pescador
Windows,3.7,amd64,9.0,0.8617,2548.0,pescador
Linux-Xenial,3.8,amd64,10.0,0.8371,988.0,pescador
Linux-Xenial,3.6,amd64,10.0,0.8634,1720.0,pescador
Linux-Xenial,3.7,amd64,10.0,0.8674,959.0,pescador
Linux-Bionic,3.7,amd64,10.0,0.8543,973.0,pescador
Linux-Focal,3.7,amd64,10.0,0.8525,980.0,pescador
Linux-Xenial,3.7,arm64,10.0,0.8601,1605.0,pescador
MacOS,3.7,amd64,10.0,0.8629,3208.0,pescador
Windows,3.7,amd64,10.0,0.8592,2536.0,pescador
Linux-Xenial,3.8,amd64,11.0,0.857,989.0,pescador
Linux-Xenial,3.6,amd64,11.0,0.8617,1758.0,pescador
Linux-Xenial,3.7,amd64,11.0,0.8541,985.0,pescador
Linux-Bionic,3.7,amd64,11.0,0.8649,981.0,pescador
Linux-Focal,3.7,amd64,11.0,0.859,1051.0,pescador
Linux-Xenial,3.7,arm64,11.0,0.8427,1606.0,pescador
MacOS,3.7,amd64,11.0,0.8583,2951.0,pescador
Windows,3.7,amd64,11.0,0.8467,2601.0,pescador
Linux-Xenial,3.8,amd64,12.0,0.8477,911.0,pescador
Linux-Xenial,3.6,amd64,12.0,0.8577,1743.0,pescador
Linux-Xenial,3.7,amd64,12.0,0.8374,951.0,pescador
Linux-Bionic,3.7,amd64,12.0,0.8515,989.0,pescador
Linux-Focal,3.7,amd64,12.0,0.8561,1052.0,pescador
Linux-Xenial,3.7,arm64,12.0,0.8588,1596.0,pescador
MacOS,3.7,amd64,12.0,0.8463,3230.0,pescador
Windows,3.7,amd64,12.0,0.858,2474.0,pescador
Linux-Xenial,3.8,amd64,13.0,0.8569,928.0,pescador
Linux-Xenial,3.6,amd64,13.0,0.8465,1702.0,pescador
Linux-Xenial,3.7,amd64,13.0,0.8563,934.0,pescador
Linux-Bionic,3.7,amd64,13.0,0.8525,982.0,pescador
Linux-Focal,3.7,amd64,13.0,0.8502,988.0,pescador
Linux-Xenial,3.7,arm64,13.0,0.84,1564.0,pescador
MacOS,3.7,amd64,13.0,0.8441,2957.0,pescador
Windows,3.7,amd64,13.0,0.8493,2473.0,pescador
Linux-Xenial,3.8,amd64,14.0,0.8621,887.0,pescador
Linux-Xenial,3.6,amd64,14.0,0.8573,1771.0,pescador
Linux-Xenial,3.7,amd64,14.0,0.8588,983.0,pescador
Linux-Bionic,3.7,amd64,14.0,0.8297,993.0,pescador
Linux-Focal,3.7,amd64,14.0,0.8538,955.0,pescador
Linux-Xenial,3.7,arm64,14.0,0.8687,1587.0,pescador
MacOS,3.7,amd64,14.0,0.8554,2874.0,pescador
Windows,3.7,amd64,14.0,0.8683,2411.0,pescador
Linux-Xenial,3.8,amd64,15.0,0.8516,987.0,pescador
Linux-Xenial,3.6,amd64,15.0,0.8399,1809.0,pescador
Linux-Xenial,3.7,amd64,15.0,0.8504,990.0,pescador
Linux-Bionic,3.7,amd64,15.0,0.852,989.0,pescador
Linux-Focal,3.7,amd64,15.0,0.8622,995.0,pescador
Linux-Xenial,3.7,arm64,15.0,0.8534,1585.0,pescador
MacOS,3.7,amd64,15.0,0.8612,2842.0,pescador
Windows,3.7,amd64,15.0,0.84,2753.0,pescador
Linux-Xenial,3.8,amd64,16.0,0.8619,940.0,pescador
Linux-Xenial,3.6,amd64,16.0,0.8433,1766.0,pescador
Linux-Xenial,3.7,amd64,16.0,0.8575,986.0,pescador
Linux-Bionic,3.7,amd64,16.0,0.845,1050.0,pescador
Linux-Focal,3.7,amd64,16.0,0.863,1052.0,pescador
Linux-Xenial,3.7,arm64,16.0,0.8577,1595.0,pescador
MacOS,3.7,amd64,16.0,0.8589,2748.0,pescador
Windows,3.7,amd64,16.0,0.867,2535.0,pescador
Linux-Xenial,3.8,amd64,17.0,0.8598,925.0,pescador
Linux-Xenial,3.6,amd64,17.0,0.8663,1731.0,pescador
Linux-Xenial,3.7,amd64,17.0,0.8502,988.0,pescador
Linux-Bionic,3.7,amd64,17.0,0.854,990.0,pescador
Linux-Focal,3.7,amd64,17.0,0.8564,1053.0,pescador
Linux-Xenial,3.7,arm64,17.0,0.8561,1598.0,pescador
MacOS,3.7,amd64,17.0,0.8604,3076.0,pescador
Windows,3.7,amd64,17.0,0.8583,2411.0,pescador
Linux-Xenial,3.8,amd64,18.0,0.8476,887.0,pescador
Linux-Xenial,3.6,amd64,18.0,0.8401,1733.0,pescador
Linux-Xenial,3.7,amd64,18.0,0.8651,992.0,pescador
Linux-Bionic,3.7,amd64,18.0,0.8518,973.0,pescador
Linux-Focal,3.7,amd64,18.0,0.8545,986.0,pescador
Linux-Xenial,3.7,arm64,18.0,0.8558,1593.0,pescador
MacOS,3.7,amd64,18.0,0.8437,2861.0,pescador
Windows,3.7,amd64,18.0,0.8537,2475.0,pescador
Linux-Xenial,3.8,amd64,19.0,0.8532,927.0,pescador
Linux-Xenial,3.6,amd64,19.0,0.8627,1718.0,pescador
Linux-Xenial,3.7,amd64,19.0,0.8576,989.0,pescador
Linux-Bionic,3.7,amd64,19.0,0.8623,989.0,pescador
Linux-Focal,3.7,amd64,19.0,0.8678,965.0,pescador
Linux-Xenial,3.7,arm64,19.0,0.8573,1595.0,pescador
MacOS,3.7,amd64,19.0,0.8704,3056.0,pescador
Windows,3.7,amd64,19.0,0.8596,2412.0,pescador
Linux-Xenial,3.8,amd64,20.0,0.8523,926.0,pescador
Linux-Xenial,3.6,amd64,20.0,0.8431,1726.0,pescador
Linux-Xenial,3.7,amd64,20.0,0.852,952.0,pescador
Linux-Bionic,3.7,amd64,20.0,0.8556,950.0,pescador
Linux-Focal,3.7,amd64,20.0,0.8539,1002.0,pescador
Linux-Xenial,3.7,arm64,20.0,0.8608,1600.0,pescador
MacOS,3.7,amd64,20.0,0.8529,2932.0,pescador
Windows,3.7,amd64,20.0,0.849,2535.0,pescador
Linux-Xenial,3.8,amd64,21.0,0.8475,884.0,pescador
Linux-Xenial,3.6,amd64,21.0,0.8628,1756.0,pescador
Linux-Xenial,3.7,amd64,21.0,0.8516,1053.0,pescador
Linux-Bionic,3.7,amd64,21.0,0.8616,950.0,pescador
Linux-Focal,3.7,amd64,21.0,0.8579,1048.0,pescador
Linux-Xenial,3.7,arm64,21.0,0.8603,1569.0,pescador
MacOS,3.7,amd64,21.0,0.8586,3190.0,pescador
Windows,3.7,amd64,21.0,0.8402,2478.0,pescador
Linux-Xenial,3.8,amd64,22.0,0.8569,902.0,pescador
Linux-Xenial,3.6,amd64,22.0,0.8419,1738.0,pescador
Linux-Xenial,3.7,amd64,22.0,0.8544,958.0,pescador
Linux-Bionic,3.7,amd64,22.0,0.8591,1005.0,pescador
Linux-Focal,3.7,amd64,22.0,0.8556,988.0,pescador
Linux-Xenial,3.7,arm64,22.0,0.855,1586.0,pescador
MacOS,3.7,amd64,22.0,0.8552,2808.0,pescador
Windows,3.7,amd64,22.0,0.8536,2350.0,pescador
Linux-Xenial,3.8,amd64,23.0,0.8591,928.0,pescador
Linux-Xenial,3.6,amd64,23.0,0.8461,1765.0,pescador
Linux-Xenial,3.7,amd64,23.0,0.8569,1049.0,pescador
Linux-Bionic,3.7,amd64,23.0,0.8538,986.0,pescador
Linux-Focal,3.7,amd64,23.0,0.8537,1000.0,pescador
Linux-Xenial,3.7,arm64,23.0,0.8529,1607.0,pescador
MacOS,3.7,amd64,23.0,0.8447,2901.0,pescador
Windows,3.7,amd64,23.0,0.8563,2415.0,pescador
Linux-Xenial,3.8,amd64,24.0,0.8429,939.0,pescador
Linux-Xenial,3.6,amd64,24.0,0.8541,1745.0,pescador
Linux-Xenial,3.7,amd64,24.0,0.8509,984.0,pescador
Linux-Bionic,3.7,amd64,24.0,0.8591,983.0,pescador
Linux-Focal,3.7,amd64,24.0,0.8402,1050.0,pescador
Linux-Xenial,3.7,arm64,24.0,0.8561,1569.0,pescador
MacOS,3.7,amd64,24.0,0.8541,3117.0,pescador
Windows,3.7,amd64,24.0,0.8545,2533.0,pescador
Linux-Xenial,3.8,amd64,25.0,0.866,896.0,pescador
Linux-Xenial,3.6,amd64,25.0,0.8574,1733.0,pescador
Linux-Xenial,3.7,amd64,25.0,0.8643,942.0,pescador
Linux-Bionic,3.7,amd64,25.0,0.8456,989.0,pescador
Linux-Focal,3.7,amd64,25.0,0.8618,984.0,pescador
Linux-Xenial,3.7,arm64,25.0,0.8484,1576.0,pescador
MacOS,3.7,amd64,25.0,0.8573,2983.0,pescador
Windows,3.7,amd64,25.0,0.8635,2535.0,pescador
Linux-Xenial,3.8,amd64,26.0,0.846,925.0,pescador
Linux-Xenial,3.6,amd64,26.0,0.8262,1729.0,pescador
