OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.102927,84.0,pyalcs
Linux-Xenial,3.6,amd64,1.0,0.096523,87.0,pyalcs
Linux-Xenial,3.7,amd64,1.0,0.096271,72.0,pyalcs
Linux-Bionic,3.7,amd64,1.0,0.099916,69.0,pyalcs
Linux-Focal,3.7,amd64,1.0,0.09115,67.0,pyalcs
Linux-Xenial,3.7,arm64,1.0,0.094745,100.0,pyalcs
MacOS,3.7,amd64,1.0,0.101459,129.0,pyalcs
Windows,3.7,amd64,1.0,0.096314,164.0,pyalcs
Linux-Xenial,3.8,amd64,2.0,0.09487,84.0,pyalcs
Linux-Xenial,3.6,amd64,2.0,0.105777,85.0,pyalcs
Linux-Xenial,3.7,amd64,2.0,0.105292,80.0,pyalcs
Linux-Bionic,3.7,amd64,2.0,0.098119,65.0,pyalcs
Linux-Focal,3.7,amd64,2.0,0.100784,68.0,pyalcs
Linux-Xenial,3.7,arm64,2.0,0.099458,74.0,pyalcs
MacOS,3.7,amd64,2.0,0.098884,130.0,pyalcs
Windows,3.7,amd64,2.0,0.093629,155.0,pyalcs
Linux-Xenial,3.8,amd64,3.0,0.10276,83.0,pyalcs
Linux-Xenial,3.6,amd64,3.0,0.094364,83.0,pyalcs
Linux-Xenial,3.7,amd64,3.0,0.092258,78.0,pyalcs
Linux-Bionic,3.7,amd64,3.0,0.090283,66.0,pyalcs
Linux-Focal,3.7,amd64,3.0,0.097668,68.0,pyalcs
Linux-Xenial,3.7,arm64,3.0,0.097894,75.0,pyalcs
MacOS,3.7,amd64,3.0,0.093063,133.0,pyalcs
Windows,3.7,amd64,3.0,0.09417,170.0,pyalcs
Linux-Xenial,3.8,amd64,4.0,0.097777,86.0,pyalcs
Linux-Xenial,3.6,amd64,4.0,0.092229,89.0,pyalcs
Linux-Xenial,3.7,amd64,4.0,0.099158,76.0,pyalcs
Linux-Bionic,3.7,amd64,4.0,0.092292,67.0,pyalcs
Linux-Focal,3.7,amd64,4.0,0.090514,68.0,pyalcs
Linux-Xenial,3.7,arm64,4.0,0.104859,76.0,pyalcs
MacOS,3.7,amd64,4.0,0.096593,136.0,pyalcs
Windows,3.7,amd64,4.0,0.103688,156.0,pyalcs
Linux-Xenial,3.8,amd64,5.0,0.092724,86.0,pyalcs
Linux-Xenial,3.6,amd64,5.0,0.097041,86.0,pyalcs
Linux-Xenial,3.7,amd64,5.0,0.092687,79.0,pyalcs
Linux-Bionic,3.7,amd64,5.0,0.096975,66.0,pyalcs
Linux-Focal,3.7,amd64,5.0,0.092677,69.0,pyalcs
Linux-Xenial,3.7,arm64,5.0,0.101212,70.0,pyalcs
MacOS,3.7,amd64,5.0,0.096662,137.0,pyalcs
Windows,3.7,amd64,5.0,0.101987,171.0,pyalcs
Linux-Xenial,3.8,amd64,6.0,0.095841,83.0,pyalcs
Linux-Xenial,3.6,amd64,6.0,0.098021,85.0,pyalcs
Linux-Xenial,3.7,amd64,6.0,0.098541,75.0,pyalcs
Linux-Bionic,3.7,amd64,6.0,0.096275,66.0,pyalcs
Linux-Focal,3.7,amd64,6.0,0.099502,69.0,pyalcs
Linux-Xenial,3.7,arm64,6.0,0.094972,75.0,pyalcs
MacOS,3.7,amd64,6.0,0.091773,141.0,pyalcs
Windows,3.7,amd64,6.0,0.100914,170.0,pyalcs
Linux-Xenial,3.8,amd64,7.0,0.103136,83.0,pyalcs
Linux-Xenial,3.6,amd64,7.0,0.095128,87.0,pyalcs
Linux-Xenial,3.7,amd64,7.0,0.10539,76.0,pyalcs
Linux-Bionic,3.7,amd64,7.0,0.095198,67.0,pyalcs
Linux-Focal,3.7,amd64,7.0,0.094277,71.0,pyalcs
Linux-Xenial,3.7,arm64,7.0,0.098368,73.0,pyalcs
MacOS,3.7,amd64,7.0,0.094576,147.0,pyalcs
Windows,3.7,amd64,7.0,0.100267,169.0,pyalcs
Linux-Xenial,3.8,amd64,8.0,0.096888,82.0,pyalcs
Linux-Xenial,3.6,amd64,8.0,0.095901,81.0,pyalcs
Linux-Xenial,3.7,amd64,8.0,0.09924,75.0,pyalcs
Linux-Bionic,3.7,amd64,8.0,0.098159,64.0,pyalcs
Linux-Focal,3.7,amd64,8.0,0.089024,65.0,pyalcs
Linux-Xenial,3.7,arm64,8.0,0.09646,76.0,pyalcs
MacOS,3.7,amd64,8.0,0.095437,140.0,pyalcs
Windows,3.7,amd64,8.0,0.09899,158.0,pyalcs
Linux-Xenial,3.8,amd64,9.0,0.093799,85.0,pyalcs
Linux-Xenial,3.6,amd64,9.0,0.097328,86.0,pyalcs
