OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.556609,97.0,pyglmnet
Linux-Xenial,3.6,amd64,1.0,0.556609,92.0,pyglmnet
Linux-Xenial,3.7,amd64,1.0,0.556609,83.0,pyglmnet
Linux-Bionic,3.7,amd64,1.0,0.556609,75.0,pyglmnet
Linux-Focal,3.7,amd64,1.0,0.556609,75.0,pyglmnet
Linux-Xenial,3.7,arm64,1.0,0.556609,74.0,pyglmnet
MacOS,3.7,amd64,1.0,0.556609,102.0,pyglmnet
Windows,3.7,amd64,1.0,0.556609,136.0,pyglmnet
Linux-Xenial,3.8,amd64,2.0,0.556609,87.0,pyglmnet
Linux-Xenial,3.6,amd64,2.0,0.556609,96.0,pyglmnet
Linux-Xenial,3.7,amd64,2.0,0.556609,83.0,pyglmnet
Linux-Bionic,3.7,amd64,2.0,0.556609,77.0,pyglmnet
Linux-Focal,3.7,amd64,2.0,0.556609,75.0,pyglmnet
Linux-Xenial,3.7,arm64,2.0,0.556609,70.0,pyglmnet
MacOS,3.7,amd64,2.0,0.556609,104.0,pyglmnet
Windows,3.7,amd64,2.0,0.556609,146.0,pyglmnet
Linux-Xenial,3.8,amd64,3.0,0.556609,88.0,pyglmnet
Linux-Xenial,3.6,amd64,3.0,0.556609,95.0,pyglmnet
Linux-Xenial,3.7,amd64,3.0,0.556609,81.0,pyglmnet
Linux-Bionic,3.7,amd64,3.0,0.556609,78.0,pyglmnet
Linux-Focal,3.7,amd64,3.0,0.556609,76.0,pyglmnet
Linux-Xenial,3.7,arm64,3.0,0.556609,73.0,pyglmnet
MacOS,3.7,amd64,3.0,0.556609,102.0,pyglmnet
Windows,3.7,amd64,3.0,0.556609,157.0,pyglmnet
Linux-Xenial,3.8,amd64,4.0,0.556609,82.0,pyglmnet
Linux-Xenial,3.6,amd64,4.0,0.556609,93.0,pyglmnet
Linux-Xenial,3.7,amd64,4.0,0.556609,85.0,pyglmnet
Linux-Bionic,3.7,amd64,4.0,0.556609,78.0,pyglmnet
Linux-Focal,3.7,amd64,4.0,0.556609,77.0,pyglmnet
Linux-Xenial,3.7,arm64,4.0,0.556609,69.0,pyglmnet
MacOS,3.7,amd64,4.0,0.556609,104.0,pyglmnet
Windows,3.7,amd64,4.0,0.556609,135.0,pyglmnet
Linux-Xenial,3.8,amd64,5.0,0.556609,87.0,pyglmnet
Linux-Xenial,3.6,amd64,5.0,0.556609,98.0,pyglmnet
Linux-Xenial,3.7,amd64,5.0,0.556609,87.0,pyglmnet
Linux-Bionic,3.7,amd64,5.0,0.556609,77.0,pyglmnet
Linux-Focal,3.7,amd64,5.0,0.556609,78.0,pyglmnet
Linux-Xenial,3.7,arm64,5.0,0.556609,71.0,pyglmnet
MacOS,3.7,amd64,5.0,0.556609,95.0,pyglmnet
Windows,3.7,amd64,5.0,0.556609,140.0,pyglmnet
Linux-Xenial,3.8,amd64,6.0,0.556609,82.0,pyglmnet
Linux-Xenial,3.6,amd64,6.0,0.556609,91.0,pyglmnet
Linux-Xenial,3.7,amd64,6.0,0.556609,89.0,pyglmnet
Linux-Bionic,3.7,amd64,6.0,0.556609,76.0,pyglmnet
Linux-Focal,3.7,amd64,6.0,0.556609,72.0,pyglmnet
Linux-Xenial,3.7,arm64,6.0,0.556609,71.0,pyglmnet
MacOS,3.7,amd64,6.0,0.556609,103.0,pyglmnet
Windows,3.7,amd64,6.0,0.556609,138.0,pyglmnet
Linux-Xenial,3.8,amd64,7.0,0.556609,86.0,pyglmnet
Linux-Xenial,3.6,amd64,7.0,0.556609,96.0,pyglmnet
Linux-Xenial,3.7,amd64,7.0,0.556609,88.0,pyglmnet
Linux-Bionic,3.7,amd64,7.0,0.556609,77.0,pyglmnet
Linux-Focal,3.7,amd64,7.0,0.556609,77.0,pyglmnet
Linux-Xenial,3.7,arm64,7.0,0.556609,72.0,pyglmnet
MacOS,3.7,amd64,7.0,0.556609,101.0,pyglmnet
Windows,3.7,amd64,7.0,0.556609,148.0,pyglmnet
Linux-Xenial,3.8,amd64,8.0,0.556609,85.0,pyglmnet
Linux-Xenial,3.6,amd64,8.0,0.556609,96.0,pyglmnet
Linux-Xenial,3.7,amd64,8.0,0.556609,88.0,pyglmnet
Linux-Bionic,3.7,amd64,8.0,0.556609,75.0,pyglmnet
Linux-Focal,3.7,amd64,8.0,0.556609,77.0,pyglmnet
Linux-Xenial,3.7,arm64,8.0,0.556609,74.0,pyglmnet
MacOS,3.7,amd64,8.0,0.556609,97.0,pyglmnet
Windows,3.7,amd64,8.0,0.556609,147.0,pyglmnet
Linux-Xenial,3.8,amd64,9.0,0.556609,87.0,pyglmnet
Linux-Xenial,3.6,amd64,9.0,0.556609,89.0,pyglmnet
Linux-Xenial,3.7,amd64,9.0,0.556609,95.0,pyglmnet
Linux-Bionic,3.7,amd64,9.0,0.556609,77.0,pyglmnet
Linux-Focal,3.7,amd64,9.0,0.556609,75.0,pyglmnet
Linux-Xenial,3.7,arm64,9.0,0.556609,74.0,pyglmnet
MacOS,3.7,amd64,9.0,0.556609,105.0,pyglmnet
Windows,3.7,amd64,9.0,0.556609,138.0,pyglmnet
Linux-Xenial,3.8,amd64,10.0,0.556609,88.0,pyglmnet
Linux-Xenial,3.6,amd64,10.0,0.556609,94.0,pyglmnet
Linux-Xenial,3.7,amd64,10.0,0.556609,85.0,pyglmnet
Linux-Bionic,3.7,amd64,10.0,0.556609,76.0,pyglmnet
Linux-Focal,3.7,amd64,10.0,0.556609,82.0,pyglmnet
Linux-Xenial,3.7,arm64,10.0,0.556609,74.0,pyglmnet
MacOS,3.7,amd64,10.0,0.556609,102.0,pyglmnet
Windows,3.7,amd64,10.0,0.556609,149.0,pyglmnet
Linux-Xenial,3.8,amd64,11.0,0.556609,86.0,pyglmnet
Linux-Xenial,3.6,amd64,11.0,0.556609,97.0,pyglmnet
Linux-Xenial,3.7,amd64,11.0,0.556609,83.0,pyglmnet
Linux-Bionic,3.7,amd64,11.0,0.556609,77.0,pyglmnet
Linux-Focal,3.7,amd64,11.0,0.556609,77.0,pyglmnet
Linux-Xenial,3.7,arm64,11.0,0.556609,72.0,pyglmnet
MacOS,3.7,amd64,11.0,0.556609,96.0,pyglmnet
Windows,3.7,amd64,11.0,0.556609,142.0,pyglmnet
Linux-Xenial,3.8,amd64,12.0,0.556609,89.0,pyglmnet
Linux-Xenial,3.6,amd64,12.0,0.556609,95.0,pyglmnet
Linux-Xenial,3.7,amd64,12.0,0.556609,79.0,pyglmnet
Linux-Bionic,3.7,amd64,12.0,0.556609,73.0,pyglmnet
Linux-Focal,3.7,amd64,12.0,0.556609,75.0,pyglmnet
Linux-Xenial,3.7,arm64,12.0,0.556609,69.0,pyglmnet
MacOS,3.7,amd64,12.0,0.556609,95.0,pyglmnet
Windows,3.7,amd64,12.0,0.556609,146.0,pyglmnet
Linux-Xenial,3.8,amd64,13.0,0.556609,84.0,pyglmnet
