OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.843933,52.0,pymfe
Linux-Xenial,3.6,amd64,1.0,0.843933,58.0,pymfe
Linux-Xenial,3.7,amd64,1.0,0.843933,50.0,pymfe
Linux-Bionic,3.7,amd64,1.0,0.843933,43.0,pymfe
Linux-Focal,3.7,amd64,1.0,0.843933,42.0,pymfe
Linux-Xenial,3.7,arm64,1.0,0.843933,48.0,pymfe
MacOS,3.7,amd64,1.0,0.843933,94.0,pymfe
Windows,3.7,amd64,1.0,0.843933,140.0,pymfe
Linux-Xenial,3.8,amd64,2.0,0.843933,53.0,pymfe
Linux-Xenial,3.6,amd64,2.0,0.843933,58.0,pymfe
Linux-Xenial,3.7,amd64,2.0,0.843933,52.0,pymfe
Linux-Bionic,3.7,amd64,2.0,0.843933,42.0,pymfe
Linux-Focal,3.7,amd64,2.0,0.843933,45.0,pymfe
Linux-Xenial,3.7,arm64,2.0,0.843933,48.0,pymfe
MacOS,3.7,amd64,2.0,0.843933,87.0,pymfe
Windows,3.7,amd64,2.0,0.843933,138.0,pymfe
Linux-Xenial,3.8,amd64,3.0,0.843933,53.0,pymfe
Linux-Xenial,3.6,amd64,3.0,0.843933,61.0,pymfe
Linux-Xenial,3.7,amd64,3.0,0.843933,50.0,pymfe
Linux-Bionic,3.7,amd64,3.0,0.843933,43.0,pymfe
Linux-Focal,3.7,amd64,3.0,0.843933,44.0,pymfe
Linux-Xenial,3.7,arm64,3.0,0.843933,51.0,pymfe
MacOS,3.7,amd64,3.0,0.843933,94.0,pymfe
Windows,3.7,amd64,3.0,0.843933,139.0,pymfe
Linux-Xenial,3.8,amd64,4.0,0.843933,55.0,pymfe
Linux-Xenial,3.6,amd64,4.0,0.843933,55.0,pymfe
Linux-Xenial,3.7,amd64,4.0,0.843933,51.0,pymfe
Linux-Bionic,3.7,amd64,4.0,0.843933,46.0,pymfe
Linux-Focal,3.7,amd64,4.0,0.843933,44.0,pymfe
Linux-Xenial,3.7,arm64,4.0,0.843933,48.0,pymfe
MacOS,3.7,amd64,4.0,0.843933,95.0,pymfe
Windows,3.7,amd64,4.0,0.843933,151.0,pymfe
Linux-Xenial,3.8,amd64,5.0,0.843933,53.0,pymfe
Linux-Xenial,3.6,amd64,5.0,0.843933,60.0,pymfe
Linux-Xenial,3.7,amd64,5.0,0.843933,50.0,pymfe
Linux-Bionic,3.7,amd64,5.0,0.843933,45.0,pymfe
Linux-Focal,3.7,amd64,5.0,0.843933,41.0,pymfe
Linux-Xenial,3.7,arm64,5.0,0.843933,48.0,pymfe
MacOS,3.7,amd64,5.0,0.843933,96.0,pymfe
Windows,3.7,amd64,5.0,0.843933,137.0,pymfe
Linux-Xenial,3.8,amd64,6.0,0.843933,52.0,pymfe
Linux-Xenial,3.6,amd64,6.0,0.843933,58.0,pymfe
Linux-Xenial,3.7,amd64,6.0,0.843933,52.0,pymfe
Linux-Bionic,3.7,amd64,6.0,0.843933,44.0,pymfe
Linux-Focal,3.7,amd64,6.0,0.843933,44.0,pymfe
Linux-Xenial,3.7,arm64,6.0,0.843933,52.0,pymfe
MacOS,3.7,amd64,6.0,0.843933,94.0,pymfe
Windows,3.7,amd64,6.0,0.843933,137.0,pymfe
Linux-Xenial,3.8,amd64,7.0,0.843933,57.0,pymfe
Linux-Xenial,3.6,amd64,7.0,0.843933,58.0,pymfe
Linux-Xenial,3.7,amd64,7.0,0.843933,51.0,pymfe
Linux-Bionic,3.7,amd64,7.0,0.843933,42.0,pymfe
