OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.9854,197.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,1.0,0.9842,198.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,1.0,0.9875,201.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,1.0,0.9862000000000001,189.0,pytorch-wrapper
Linux-Focal,3.7,amd64,1.0,0.9863,189.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,1.0,0.9854,217.0,pytorch-wrapper
MacOS,3.7,amd64,1.0,0.9845999999999999,378.0,pytorch-wrapper
Windows,3.7,amd64,1.0,0.9873999999999999,332.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,2.0,0.9832,203.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,2.0,0.9871,188.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,2.0,0.9867,202.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,2.0,0.9848,189.0,pytorch-wrapper
Linux-Focal,3.7,amd64,2.0,0.9847,189.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,2.0,0.9881,217.0,pytorch-wrapper
MacOS,3.7,amd64,2.0,0.9872,436.0,pytorch-wrapper
Windows,3.7,amd64,2.0,0.9834,293.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,3.0,0.9854,196.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,3.0,0.9854999999999999,197.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,3.0,0.9867,197.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,3.0,0.9841,192.0,pytorch-wrapper
Linux-Focal,3.7,amd64,3.0,0.985,187.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,3.0,0.9838,221.0,pytorch-wrapper
MacOS,3.7,amd64,3.0,0.9868000000000001,503.0,pytorch-wrapper
Windows,3.7,amd64,3.0,0.9863,359.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,4.0,0.9868000000000001,195.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,4.0,0.9841,197.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,4.0,0.9869,203.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,4.0,0.9859,193.0,pytorch-wrapper
Linux-Focal,3.7,amd64,4.0,0.9839,191.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,4.0,0.9856,219.0,pytorch-wrapper
MacOS,3.7,amd64,4.0,0.9856999999999999,376.0,pytorch-wrapper
Windows,3.7,amd64,4.0,0.9865,334.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,5.0,0.9834999999999999,199.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,5.0,0.9875,202.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,5.0,0.9856999999999999,204.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,5.0,0.9865,189.0,pytorch-wrapper
Linux-Focal,3.7,amd64,5.0,0.9868000000000001,187.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,5.0,0.9868000000000001,221.0,pytorch-wrapper
MacOS,3.7,amd64,5.0,0.9882,482.0,pytorch-wrapper
Windows,3.7,amd64,5.0,0.9864,351.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,6.0,0.9863,195.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,6.0,0.9852,194.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,6.0,0.9865999999999999,208.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,6.0,0.988,195.0,pytorch-wrapper
Linux-Focal,3.7,amd64,6.0,0.9856,190.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,6.0,0.9884000000000001,219.0,pytorch-wrapper
MacOS,3.7,amd64,6.0,0.9862000000000001,377.0,pytorch-wrapper
Windows,3.7,amd64,6.0,0.9853000000000001,336.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,7.0,0.9865,200.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,7.0,0.9887,195.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,7.0,0.9845999999999999,207.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,7.0,0.9838,191.0,pytorch-wrapper
Linux-Focal,3.7,amd64,7.0,0.9859,191.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,7.0,0.9862000000000001,222.0,pytorch-wrapper
MacOS,3.7,amd64,7.0,0.986,427.0,pytorch-wrapper
Windows,3.7,amd64,7.0,0.9858,333.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,8.0,0.9839,193.0,pytorch-wrapper
Linux-Xenial,3.6,amd64,8.0,0.9856999999999999,200.0,pytorch-wrapper
Linux-Xenial,3.7,amd64,8.0,0.9858,206.0,pytorch-wrapper
Linux-Bionic,3.7,amd64,8.0,0.9873000000000001,193.0,pytorch-wrapper
Linux-Focal,3.7,amd64,8.0,0.9849,189.0,pytorch-wrapper
Linux-Xenial,3.7,arm64,8.0,0.9887,222.0,pytorch-wrapper
MacOS,3.7,amd64,8.0,0.9854999999999999,472.0,pytorch-wrapper
Windows,3.7,amd64,8.0,0.9869,352.0,pytorch-wrapper
Linux-Xenial,3.8,amd64,9.0,0.9853000000000001,199.0,pytorch-wrapper
