OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.110195,172.0,recoder
Linux-Xenial,3.6,amd64,1.0,0.107909,113.0,recoder
Linux-Xenial,3.7,amd64,1.0,0.107331,131.0,recoder
Linux-Bionic,3.7,amd64,1.0,0.109768,124.0,recoder
Linux-Focal,3.7,amd64,1.0,0.110457,123.0,recoder
Linux-Xenial,3.7,arm64,1.0,0.108496,86.0,recoder
MacOS,3.7,amd64,1.0,0.111766,141.0,recoder
Windows,3.7,amd64,1.0,0.110377,166.0,recoder
Linux-Xenial,3.8,amd64,2.0,0.111156,174.0,recoder
Linux-Xenial,3.6,amd64,2.0,0.109639,110.0,recoder
Linux-Xenial,3.7,amd64,2.0,0.110708,133.0,recoder
Linux-Bionic,3.7,amd64,2.0,0.108784,125.0,recoder
Linux-Focal,3.7,amd64,2.0,0.110004,128.0,recoder
Linux-Xenial,3.7,arm64,2.0,0.10772,83.0,recoder
MacOS,3.7,amd64,2.0,0.109665,135.0,recoder
Windows,3.7,amd64,2.0,0.107667,173.0,recoder
Linux-Xenial,3.8,amd64,3.0,0.109862,167.0,recoder
Linux-Xenial,3.6,amd64,3.0,0.109109,112.0,recoder
Linux-Xenial,3.7,amd64,3.0,0.111041,135.0,recoder
Linux-Bionic,3.7,amd64,3.0,0.109409,124.0,recoder
Linux-Focal,3.7,amd64,3.0,0.109148,128.0,recoder
Linux-Xenial,3.7,arm64,3.0,0.108533,82.0,recoder
MacOS,3.7,amd64,3.0,0.110045,140.0,recoder
Windows,3.7,amd64,3.0,0.109095,164.0,recoder
Linux-Xenial,3.8,amd64,4.0,0.108121,171.0,recoder
Linux-Xenial,3.6,amd64,4.0,0.109902,112.0,recoder
Linux-Xenial,3.7,amd64,4.0,0.111464,132.0,recoder
Linux-Bionic,3.7,amd64,4.0,0.107915,122.0,recoder
Linux-Focal,3.7,amd64,4.0,0.109832,127.0,recoder
Linux-Xenial,3.7,arm64,4.0,0.108971,91.0,recoder
MacOS,3.7,amd64,4.0,0.109776,143.0,recoder
Windows,3.7,amd64,4.0,0.111613,167.0,recoder
Linux-Xenial,3.8,amd64,5.0,0.111095,170.0,recoder
Linux-Xenial,3.6,amd64,5.0,0.109469,109.0,recoder
Linux-Xenial,3.7,amd64,5.0,0.10886,132.0,recoder
Linux-Bionic,3.7,amd64,5.0,0.111185,121.0,recoder
