OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.41798,296.0,regain
Linux-Xenial,3.6,amd64,1.0,0.4155,292.0,regain
Linux-Xenial,3.7,amd64,1.0,0.4085,295.0,regain
Linux-Bionic,3.7,amd64,1.0,0.41264,277.0,regain
Linux-Focal,3.7,amd64,1.0,0.41374,271.0,regain
Linux-Xenial,3.7,arm64,1.0,0.41816,165.0,regain
MacOS,3.7,amd64,1.0,0.4091,397.0,regain
Windows,3.7,amd64,1.0,0.4097,463.0,regain
Linux-Xenial,3.8,amd64,2.0,0.41272,291.0,regain
Linux-Xenial,3.6,amd64,2.0,0.42112,289.0,regain
Linux-Xenial,3.7,amd64,2.0,0.40968,283.0,regain
Linux-Bionic,3.7,amd64,2.0,0.4145,282.0,regain
Linux-Focal,3.7,amd64,2.0,0.41594,273.0,regain
Linux-Xenial,3.7,arm64,2.0,0.41318,161.0,regain
MacOS,3.7,amd64,2.0,0.4112,402.0,regain
Windows,3.7,amd64,2.0,0.4142,453.0,regain
Linux-Xenial,3.8,amd64,3.0,0.41254,293.0,regain
Linux-Xenial,3.6,amd64,3.0,0.41352,296.0,regain
Linux-Xenial,3.7,amd64,3.0,0.41788,284.0,regain
Linux-Bionic,3.7,amd64,3.0,0.41392,274.0,regain
Linux-Focal,3.7,amd64,3.0,0.41278,275.0,regain
Linux-Xenial,3.7,arm64,3.0,0.41526,159.0,regain
MacOS,3.7,amd64,3.0,0.41054,392.0,regain
Windows,3.7,amd64,3.0,0.41552,453.0,regain
Linux-Xenial,3.8,amd64,4.0,0.41402,278.0,regain
Linux-Xenial,3.6,amd64,4.0,0.41662,291.0,regain
Linux-Xenial,3.7,amd64,4.0,0.412,282.0,regain
Linux-Bionic,3.7,amd64,4.0,0.41424,283.0,regain
Linux-Focal,3.7,amd64,4.0,0.41502,261.0,regain
Linux-Xenial,3.7,arm64,4.0,0.41306,163.0,regain
MacOS,3.7,amd64,4.0,0.4181,400.0,regain
Windows,3.7,amd64,4.0,0.418,456.0,regain
Linux-Xenial,3.8,amd64,5.0,0.4135,289.0,regain
Linux-Xenial,3.6,amd64,5.0,0.41278,297.0,regain
