OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,9.038623,57.0,rrcf
Linux-Xenial,3.6,amd64,1.0,8.600704,60.0,rrcf
Linux-Xenial,3.7,amd64,1.0,8.900525,53.0,rrcf
Linux-Bionic,3.7,amd64,1.0,8.552067,53.0,rrcf
Linux-Focal,3.7,amd64,1.0,8.455796,54.0,rrcf
Linux-Xenial,3.7,arm64,1.0,8.516388,89.0,rrcf
MacOS,3.7,amd64,1.0,8.258037,117.0,rrcf
Windows,3.7,amd64,1.0,8.724733,120.0,rrcf
Linux-Xenial,3.8,amd64,2.0,8.764135,57.0,rrcf
Linux-Xenial,3.6,amd64,2.0,8.841522,61.0,rrcf
Linux-Xenial,3.7,amd64,2.0,8.915253,51.0,rrcf
Linux-Bionic,3.7,amd64,2.0,8.996008,53.0,rrcf
Linux-Focal,3.7,amd64,2.0,8.326874,53.0,rrcf
Linux-Xenial,3.7,arm64,2.0,8.488963,93.0,rrcf
MacOS,3.7,amd64,2.0,9.182977,116.0,rrcf
Windows,3.7,amd64,2.0,8.759761,120.0,rrcf
Linux-Xenial,3.8,amd64,3.0,7.907188,58.0,rrcf
Linux-Xenial,3.6,amd64,3.0,8.718531,60.0,rrcf
Linux-Xenial,3.7,amd64,3.0,8.688974,53.0,rrcf
Linux-Bionic,3.7,amd64,3.0,8.950626,52.0,rrcf
Linux-Focal,3.7,amd64,3.0,8.389784,52.0,rrcf
Linux-Xenial,3.7,arm64,3.0,8.453794,98.0,rrcf
MacOS,3.7,amd64,3.0,8.947366,110.0,rrcf
Windows,3.7,amd64,3.0,7.898652,116.0,rrcf
Linux-Xenial,3.8,amd64,4.0,9.008013,57.0,rrcf
Linux-Xenial,3.6,amd64,4.0,8.389565,61.0,rrcf
Linux-Xenial,3.7,amd64,4.0,8.195793,52.0,rrcf
Linux-Bionic,3.7,amd64,4.0,8.391337,52.0,rrcf
Linux-Focal,3.7,amd64,4.0,8.289466,51.0,rrcf
Linux-Xenial,3.7,arm64,4.0,8.505601,95.0,rrcf
MacOS,3.7,amd64,4.0,7.977686,111.0,rrcf
Windows,3.7,amd64,4.0,8.607565,119.0,rrcf
Linux-Xenial,3.8,amd64,5.0,8.962244,58.0,rrcf
Linux-Xenial,3.6,amd64,5.0,8.463221,64.0,rrcf
Linux-Xenial,3.7,amd64,5.0,8.541591,53.0,rrcf
Linux-Bionic,3.7,amd64,5.0,8.911438,53.0,rrcf
Linux-Focal,3.7,amd64,5.0,8.092743,53.0,rrcf
Linux-Xenial,3.7,arm64,5.0,8.02551,90.0,rrcf
MacOS,3.7,amd64,5.0,8.850684,110.0,rrcf
Windows,3.7,amd64,5.0,8.435529,118.0,rrcf
Linux-Xenial,3.8,amd64,6.0,9.047956,56.0,rrcf
Linux-Xenial,3.6,amd64,6.0,8.958152,60.0,rrcf
Linux-Xenial,3.7,amd64,6.0,8.701683,52.0,rrcf
Linux-Bionic,3.7,amd64,6.0,9.018832,52.0,rrcf
Linux-Focal,3.7,amd64,6.0,9.160975,52.0,rrcf
Linux-Xenial,3.7,arm64,6.0,9.189781,91.0,rrcf
MacOS,3.7,amd64,6.0,8.913444,107.0,rrcf
Windows,3.7,amd64,6.0,8.432721,117.0,rrcf
Linux-Xenial,3.8,amd64,7.0,7.86818,57.0,rrcf
Linux-Xenial,3.6,amd64,7.0,8.735039,61.0,rrcf
Linux-Xenial,3.7,amd64,7.0,8.987716,52.0,rrcf
Linux-Bionic,3.7,amd64,7.0,8.912216,52.0,rrcf
Linux-Focal,3.7,amd64,7.0,8.302985,52.0,rrcf
Linux-Xenial,3.7,arm64,7.0,7.99639,103.0,rrcf
MacOS,3.7,amd64,7.0,8.711005,104.0,rrcf
Windows,3.7,amd64,7.0,8.25594,116.0,rrcf
Linux-Xenial,3.8,amd64,8.0,7.987934,59.0,rrcf
Linux-Xenial,3.6,amd64,8.0,8.194911,60.0,rrcf
Linux-Xenial,3.7,amd64,8.0,8.948623,52.0,rrcf
Linux-Bionic,3.7,amd64,8.0,8.296853,51.0,rrcf
Linux-Focal,3.7,amd64,8.0,8.369721,51.0,rrcf
Linux-Xenial,3.7,arm64,8.0,8.175577,88.0,rrcf
MacOS,3.7,amd64,8.0,8.362804,115.0,rrcf
Windows,3.7,amd64,8.0,8.767511,127.0,rrcf
Linux-Xenial,3.8,amd64,9.0,8.732077,58.0,rrcf
Linux-Xenial,3.6,amd64,9.0,9.00246,62.0,rrcf
Linux-Xenial,3.7,amd64,9.0,8.134628,53.0,rrcf
Linux-Bionic,3.7,amd64,9.0,8.154021,53.0,rrcf
Linux-Focal,3.7,amd64,9.0,8.125499,51.0,rrcf
Linux-Xenial,3.7,arm64,9.0,7.908829,119.0,rrcf
MacOS,3.7,amd64,9.0,8.826143,112.0,rrcf
Windows,3.7,amd64,9.0,8.433701,104.0,rrcf
Linux-Xenial,3.8,amd64,10.0,8.259826,57.0,rrcf
Linux-Xenial,3.6,amd64,10.0,8.123745,62.0,rrcf
Linux-Xenial,3.7,amd64,10.0,8.463913,52.0,rrcf
Linux-Bionic,3.7,amd64,10.0,9.259754,52.0,rrcf
Linux-Focal,3.7,amd64,10.0,7.920129,51.0,rrcf
Linux-Xenial,3.7,arm64,10.0,8.4947,94.0,rrcf
MacOS,3.7,amd64,10.0,8.395351,113.0,rrcf
Windows,3.7,amd64,10.0,7.957055,122.0,rrcf
Linux-Xenial,3.8,amd64,11.0,9.076936,55.0,rrcf
Linux-Xenial,3.6,amd64,11.0,8.861604,62.0,rrcf
Linux-Xenial,3.7,amd64,11.0,9.256557,51.0,rrcf
Linux-Bionic,3.7,amd64,11.0,9.201459,50.0,rrcf
Linux-Focal,3.7,amd64,11.0,9.208345,51.0,rrcf
Linux-Xenial,3.7,arm64,11.0,9.874146,98.0,rrcf
MacOS,3.7,amd64,11.0,8.326583,116.0,rrcf
Windows,3.7,amd64,11.0,8.715762,119.0,rrcf
Linux-Xenial,3.8,amd64,12.0,8.488281,57.0,rrcf
Linux-Xenial,3.6,amd64,12.0,9.291061,59.0,rrcf
Linux-Xenial,3.7,amd64,12.0,8.006496,51.0,rrcf
Linux-Bionic,3.7,amd64,12.0,8.516966,52.0,rrcf
Linux-Focal,3.7,amd64,12.0,8.617305,51.0,rrcf
Linux-Xenial,3.7,arm64,12.0,8.541975,91.0,rrcf
MacOS,3.7,amd64,12.0,8.388446,111.0,rrcf
Windows,3.7,amd64,12.0,8.913942,120.0,rrcf
Linux-Xenial,3.8,amd64,13.0,8.85885,56.0,rrcf
Linux-Xenial,3.6,amd64,13.0,8.839858,60.0,rrcf
Linux-Xenial,3.7,amd64,13.0,8.483709,55.0,rrcf
Linux-Bionic,3.7,amd64,13.0,8.515065,53.0,rrcf
Linux-Focal,3.7,amd64,13.0,8.078426,52.0,rrcf
Linux-Xenial,3.7,arm64,13.0,7.71621,92.0,rrcf
MacOS,3.7,amd64,13.0,8.857741,110.0,rrcf
Windows,3.7,amd64,13.0,8.872527,131.0,rrcf
Linux-Xenial,3.8,amd64,14.0,7.989065,56.0,rrcf
Linux-Xenial,3.6,amd64,14.0,9.052162,61.0,rrcf
Linux-Xenial,3.7,amd64,14.0,8.349482,53.0,rrcf
Linux-Bionic,3.7,amd64,14.0,8.741147,54.0,rrcf
Linux-Focal,3.7,amd64,14.0,8.957945,52.0,rrcf
Linux-Xenial,3.7,arm64,14.0,9.013268,97.0,rrcf
MacOS,3.7,amd64,14.0,7.874847,116.0,rrcf
Windows,3.7,amd64,14.0,8.846907,118.0,rrcf
Linux-Xenial,3.8,amd64,15.0,8.514017,57.0,rrcf
Linux-Xenial,3.6,amd64,15.0,8.744283,65.0,rrcf
Linux-Xenial,3.7,amd64,15.0,9.058626,52.0,rrcf
Linux-Bionic,3.7,amd64,15.0,8.685889,54.0,rrcf
Linux-Focal,3.7,amd64,15.0,7.978876,52.0,rrcf
Linux-Xenial,3.7,arm64,15.0,8.618348,138.0,rrcf
MacOS,3.7,amd64,15.0,9.062723,112.0,rrcf
Windows,3.7,amd64,15.0,8.686768,122.0,rrcf
Linux-Xenial,3.8,amd64,16.0,8.477139,58.0,rrcf
Linux-Xenial,3.6,amd64,16.0,8.970631,59.0,rrcf
Linux-Xenial,3.7,amd64,16.0,7.770205,53.0,rrcf
Linux-Bionic,3.7,amd64,16.0,9.373778,51.0,rrcf
Linux-Focal,3.7,amd64,16.0,8.995068,55.0,rrcf
Linux-Xenial,3.7,arm64,16.0,8.408622,90.0,rrcf
MacOS,3.7,amd64,16.0,8.278105,110.0,rrcf
Windows,3.7,amd64,16.0,8.712084,124.0,rrcf
Linux-Xenial,3.8,amd64,17.0,8.374239,57.0,rrcf
Linux-Xenial,3.6,amd64,17.0,8.339823,61.0,rrcf
Linux-Xenial,3.7,amd64,17.0,9.193104,51.0,rrcf
Linux-Bionic,3.7,amd64,17.0,8.562936,52.0,rrcf
Linux-Focal,3.7,amd64,17.0,8.327758,52.0,rrcf
Linux-Xenial,3.7,arm64,17.0,8.479038,88.0,rrcf
MacOS,3.7,amd64,17.0,9.19635,111.0,rrcf
Windows,3.7,amd64,17.0,8.516558,120.0,rrcf
Linux-Xenial,3.8,amd64,18.0,8.979,58.0,rrcf
Linux-Xenial,3.6,amd64,18.0,8.731762,60.0,rrcf
Linux-Xenial,3.7,amd64,18.0,8.677379,53.0,rrcf
Linux-Bionic,3.7,amd64,18.0,7.739052,52.0,rrcf
Linux-Focal,3.7,amd64,18.0,8.521491,52.0,rrcf
Linux-Xenial,3.7,arm64,18.0,8.391648,86.0,rrcf
MacOS,3.7,amd64,18.0,8.696828,117.0,rrcf
Windows,3.7,amd64,18.0,8.923341,117.0,rrcf
Linux-Xenial,3.8,amd64,19.0,7.992135,58.0,rrcf
Linux-Xenial,3.6,amd64,19.0,8.645763,59.0,rrcf
Linux-Xenial,3.7,amd64,19.0,8.531415,52.0,rrcf
Linux-Bionic,3.7,amd64,19.0,8.296505,52.0,rrcf
Linux-Focal,3.7,amd64,19.0,8.699144,52.0,rrcf
Linux-Xenial,3.7,arm64,19.0,8.507215,92.0,rrcf
MacOS,3.7,amd64,19.0,8.766795,118.0,rrcf
Windows,3.7,amd64,19.0,9.213293,116.0,rrcf
Linux-Xenial,3.8,amd64,20.0,8.369772,56.0,rrcf
Linux-Xenial,3.6,amd64,20.0,9.371523,61.0,rrcf
Linux-Xenial,3.7,amd64,20.0,8.026185,52.0,rrcf
Linux-Bionic,3.7,amd64,20.0,7.555505,51.0,rrcf
Linux-Focal,3.7,amd64,20.0,8.629165,51.0,rrcf
Linux-Xenial,3.7,arm64,20.0,8.612804,112.0,rrcf
MacOS,3.7,amd64,20.0,8.535011,117.0,rrcf
Windows,3.7,amd64,20.0,8.681745,126.0,rrcf
Linux-Xenial,3.8,amd64,21.0,9.091206,59.0,rrcf
Linux-Xenial,3.6,amd64,21.0,8.587413,62.0,rrcf
Linux-Xenial,3.7,amd64,21.0,8.844029,52.0,rrcf
Linux-Bionic,3.7,amd64,21.0,8.300695,52.0,rrcf
Linux-Focal,3.7,amd64,21.0,8.962271,52.0,rrcf
Linux-Xenial,3.7,arm64,21.0,9.507903,99.0,rrcf
MacOS,3.7,amd64,21.0,8.615679,115.0,rrcf
Windows,3.7,amd64,21.0,8.21353,118.0,rrcf
Linux-Xenial,3.8,amd64,22.0,8.996307,58.0,rrcf
Linux-Xenial,3.6,amd64,22.0,8.231465,60.0,rrcf
Linux-Xenial,3.7,amd64,22.0,8.462192,52.0,rrcf
Linux-Bionic,3.7,amd64,22.0,9.385583,53.0,rrcf
Linux-Focal,3.7,amd64,22.0,9.122139,52.0,rrcf
Linux-Xenial,3.7,arm64,22.0,8.668061,73.0,rrcf
MacOS,3.7,amd64,22.0,8.950975,114.0,rrcf
Windows,3.7,amd64,22.0,9.202416,118.0,rrcf
Linux-Xenial,3.8,amd64,23.0,8.403402,58.0,rrcf
Linux-Xenial,3.6,amd64,23.0,8.5304,61.0,rrcf
Linux-Xenial,3.7,amd64,23.0,8.480779,53.0,rrcf
Linux-Bionic,3.7,amd64,23.0,8.494065,52.0,rrcf
Linux-Focal,3.7,amd64,23.0,9.015112,51.0,rrcf
Linux-Xenial,3.7,arm64,23.0,8.143667,90.0,rrcf
MacOS,3.7,amd64,23.0,8.57964,113.0,rrcf
Windows,3.7,amd64,23.0,8.09751,119.0,rrcf
Linux-Xenial,3.8,amd64,24.0,9.264709,56.0,rrcf
Linux-Xenial,3.6,amd64,24.0,8.656226,60.0,rrcf
Linux-Xenial,3.7,amd64,24.0,8.185204,52.0,rrcf
Linux-Bionic,3.7,amd64,24.0,8.715176,53.0,rrcf
Linux-Focal,3.7,amd64,24.0,8.808308,51.0,rrcf
Linux-Xenial,3.7,arm64,24.0,8.266332,89.0,rrcf
MacOS,3.7,amd64,24.0,7.731618,110.0,rrcf
Windows,3.7,amd64,24.0,8.154334,123.0,rrcf
Linux-Xenial,3.8,amd64,25.0,8.998013,56.0,rrcf
Linux-Xenial,3.6,amd64,25.0,7.949875,59.0,rrcf
Linux-Xenial,3.7,amd64,25.0,9.230908,52.0,rrcf
Linux-Bionic,3.7,amd64,25.0,7.873706,52.0,rrcf
Linux-Focal,3.7,amd64,25.0,9.123376,51.0,rrcf
Linux-Xenial,3.7,arm64,25.0,8.524533,90.0,rrcf
MacOS,3.7,amd64,25.0,7.749148,113.0,rrcf
Windows,3.7,amd64,25.0,8.934122,121.0,rrcf
Linux-Xenial,3.8,amd64,26.0,9.191029,57.0,rrcf
Linux-Xenial,3.6,amd64,26.0,8.551096,61.0,rrcf
Linux-Xenial,3.7,amd64,26.0,7.72691,53.0,rrcf
Linux-Bionic,3.7,amd64,26.0,9.425167,53.0,rrcf
Linux-Focal,3.7,amd64,26.0,8.248058,51.0,rrcf
Linux-Xenial,3.7,arm64,26.0,8.85756,107.0,rrcf
MacOS,3.7,amd64,26.0,9.224546,116.0,rrcf
Windows,3.7,amd64,26.0,8.149444,114.0,rrcf
Linux-Xenial,3.8,amd64,27.0,9.074972,58.0,rrcf
Linux-Xenial,3.6,amd64,27.0,9.050998,60.0,rrcf
Linux-Xenial,3.7,amd64,27.0,8.883263,51.0,rrcf
Linux-Bionic,3.7,amd64,27.0,8.922134,51.0,rrcf
Linux-Focal,3.7,amd64,27.0,8.49729,52.0,rrcf
Linux-Xenial,3.7,arm64,27.0,8.632579,94.0,rrcf
MacOS,3.7,amd64,27.0,8.762488,114.0,rrcf
Windows,3.7,amd64,27.0,8.19528,122.0,rrcf
Linux-Xenial,3.8,amd64,28.0,8.534931,57.0,rrcf
Linux-Xenial,3.6,amd64,28.0,8.742849,60.0,rrcf
Linux-Xenial,3.7,amd64,28.0,8.769747,53.0,rrcf
Linux-Bionic,3.7,amd64,28.0,8.217238,51.0,rrcf
Linux-Focal,3.7,amd64,28.0,8.643918,52.0,rrcf
Linux-Xenial,3.7,arm64,28.0,8.796262,104.0,rrcf
MacOS,3.7,amd64,28.0,8.648602,109.0,rrcf
Windows,3.7,amd64,28.0,9.110881,117.0,rrcf
Linux-Xenial,3.8,amd64,29.0,8.879611,58.0,rrcf
Linux-Xenial,3.6,amd64,29.0,8.782755,61.0,rrcf
Linux-Xenial,3.7,amd64,29.0,8.729733,53.0,rrcf
Linux-Bionic,3.7,amd64,29.0,8.380387,52.0,rrcf
Linux-Focal,3.7,amd64,29.0,8.786047,52.0,rrcf
Linux-Xenial,3.7,arm64,29.0,8.805227,94.0,rrcf
MacOS,3.7,amd64,29.0,8.829663,113.0,rrcf
Windows,3.7,amd64,29.0,9.378503,121.0,rrcf
Linux-Xenial,3.8,amd64,30.0,8.377471,57.0,rrcf
Linux-Xenial,3.6,amd64,30.0,9.062405,60.0,rrcf
Linux-Xenial,3.7,amd64,30.0,8.730694,53.0,rrcf
Linux-Bionic,3.7,amd64,30.0,8.562158,51.0,rrcf
Linux-Focal,3.7,amd64,30.0,7.848481,52.0,rrcf
Linux-Xenial,3.7,arm64,30.0,8.397368,85.0,rrcf
MacOS,3.7,amd64,30.0,8.523561,125.0,rrcf
Windows,3.7,amd64,30.0,7.524733,121.0,rrcf
Linux-Xenial,3.8,amd64,31.0,8.614462,57.0,rrcf
Linux-Xenial,3.6,amd64,31.0,9.080734,61.0,rrcf
Linux-Xenial,3.7,amd64,31.0,8.111526,53.0,rrcf
Linux-Bionic,3.7,amd64,31.0,8.334869,53.0,rrcf
Linux-Focal,3.7,amd64,31.0,8.782815,52.0,rrcf
Linux-Xenial,3.7,arm64,31.0,8.253789,95.0,rrcf
