OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,1.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,1.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,1.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,1.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,1.0,2.89352,113.0,scikit-optimize
MacOS,3.7,amd64,1.0,2.925345,177.0,scikit-optimize
Windows,3.7,amd64,1.0,2.943491,159.0,scikit-optimize
Linux-Xenial,3.8,amd64,2.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,2.0,2.774693,108.0,scikit-optimize
Linux-Xenial,3.7,amd64,2.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,2.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,2.0,2.96349,98.0,scikit-optimize
Linux-Xenial,3.7,arm64,2.0,2.89352,116.0,scikit-optimize
MacOS,3.7,amd64,2.0,2.925345,163.0,scikit-optimize
Windows,3.7,amd64,2.0,2.943491,156.0,scikit-optimize
Linux-Xenial,3.8,amd64,3.0,2.953319,100.0,scikit-optimize
Linux-Xenial,3.6,amd64,3.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,3.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,3.0,2.96349,99.0,scikit-optimize
Linux-Focal,3.7,amd64,3.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,3.0,2.89352,105.0,scikit-optimize
MacOS,3.7,amd64,3.0,2.925345,165.0,scikit-optimize
Windows,3.7,amd64,3.0,2.943491,160.0,scikit-optimize
Linux-Xenial,3.8,amd64,4.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,4.0,2.774693,107.0,scikit-optimize
Linux-Xenial,3.7,amd64,4.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,4.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,4.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,4.0,2.89352,100.0,scikit-optimize
MacOS,3.7,amd64,4.0,2.925345,170.0,scikit-optimize
Windows,3.7,amd64,4.0,2.943491,162.0,scikit-optimize
Linux-Xenial,3.8,amd64,5.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,5.0,2.774693,107.0,scikit-optimize
Linux-Xenial,3.7,amd64,5.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,5.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,5.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,5.0,2.89352,103.0,scikit-optimize
MacOS,3.7,amd64,5.0,2.925345,161.0,scikit-optimize
Windows,3.7,amd64,5.0,2.943491,157.0,scikit-optimize
Linux-Xenial,3.8,amd64,6.0,2.953319,96.0,scikit-optimize
Linux-Xenial,3.6,amd64,6.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,6.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,6.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,6.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,6.0,2.89352,114.0,scikit-optimize
MacOS,3.7,amd64,6.0,2.925345,164.0,scikit-optimize
Windows,3.7,amd64,6.0,2.943491,156.0,scikit-optimize
Linux-Xenial,3.8,amd64,7.0,2.953319,105.0,scikit-optimize
Linux-Xenial,3.6,amd64,7.0,2.774693,109.0,scikit-optimize
Linux-Xenial,3.7,amd64,7.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,7.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,7.0,2.96349,96.0,scikit-optimize
Linux-Xenial,3.7,arm64,7.0,2.89352,127.0,scikit-optimize
MacOS,3.7,amd64,7.0,2.925345,162.0,scikit-optimize
Windows,3.7,amd64,7.0,2.943491,146.0,scikit-optimize
Linux-Xenial,3.8,amd64,8.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,8.0,2.774693,106.0,scikit-optimize
Linux-Xenial,3.7,amd64,8.0,2.96349,98.0,scikit-optimize
Linux-Bionic,3.7,amd64,8.0,2.96349,97.0,scikit-optimize
Linux-Focal,3.7,amd64,8.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,8.0,2.89352,153.0,scikit-optimize
MacOS,3.7,amd64,8.0,2.925345,163.0,scikit-optimize
Windows,3.7,amd64,8.0,2.943491,160.0,scikit-optimize
Linux-Xenial,3.8,amd64,9.0,2.953319,100.0,scikit-optimize
Linux-Xenial,3.6,amd64,9.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,9.0,2.96349,99.0,scikit-optimize
Linux-Bionic,3.7,amd64,9.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,9.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,9.0,2.89352,150.0,scikit-optimize
MacOS,3.7,amd64,9.0,2.925345,164.0,scikit-optimize
Windows,3.7,amd64,9.0,2.943491,148.0,scikit-optimize
Linux-Xenial,3.8,amd64,10.0,2.953319,101.0,scikit-optimize
Linux-Xenial,3.6,amd64,10.0,2.774693,105.0,scikit-optimize
Linux-Xenial,3.7,amd64,10.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,10.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,10.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,10.0,2.89352,163.0,scikit-optimize
MacOS,3.7,amd64,10.0,2.925345,151.0,scikit-optimize
Windows,3.7,amd64,10.0,2.943491,151.0,scikit-optimize
Linux-Xenial,3.8,amd64,11.0,2.953319,102.0,scikit-optimize
Linux-Xenial,3.6,amd64,11.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,11.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,11.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,11.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,11.0,2.89352,166.0,scikit-optimize
MacOS,3.7,amd64,11.0,2.925345,171.0,scikit-optimize
Windows,3.7,amd64,11.0,2.943491,155.0,scikit-optimize
Linux-Xenial,3.8,amd64,12.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,12.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,12.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,12.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,12.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,12.0,2.89352,162.0,scikit-optimize
MacOS,3.7,amd64,12.0,2.925345,166.0,scikit-optimize
Windows,3.7,amd64,12.0,2.943491,160.0,scikit-optimize
Linux-Xenial,3.8,amd64,13.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,13.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,13.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,13.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,13.0,2.96349,96.0,scikit-optimize
Linux-Xenial,3.7,arm64,13.0,2.89352,145.0,scikit-optimize
MacOS,3.7,amd64,13.0,2.925345,167.0,scikit-optimize
Windows,3.7,amd64,13.0,2.943491,152.0,scikit-optimize
Linux-Xenial,3.8,amd64,14.0,2.953319,100.0,scikit-optimize
Linux-Xenial,3.6,amd64,14.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,14.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,14.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,14.0,2.96349,96.0,scikit-optimize
Linux-Xenial,3.7,arm64,14.0,2.89352,172.0,scikit-optimize
MacOS,3.7,amd64,14.0,2.925345,157.0,scikit-optimize
Windows,3.7,amd64,14.0,2.943491,159.0,scikit-optimize
Linux-Xenial,3.8,amd64,15.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,15.0,2.774693,105.0,scikit-optimize
Linux-Xenial,3.7,amd64,15.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,15.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,15.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,15.0,2.89352,175.0,scikit-optimize
