OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.283333,82.0,scitime 
Linux-Xenial,3.6,amd64,1.0,0.283333,88.0,scitime 
Linux-Xenial,3.7,amd64,1.0,0.283333,81.0,scitime 
Linux-Bionic,3.7,amd64,1.0,0.283333,74.0,scitime 
Linux-Focal,3.7,amd64,1.0,0.283333,74.0,scitime 
Linux-Xenial,3.7,arm64,1.0,0.2,71.0,scitime 
MacOS,3.7,amd64,1.0,0.233333,116.0,scitime 
Windows,3.7,amd64,1.0,0.25,181.0,scitime 
Linux-Xenial,3.8,amd64,2.0,0.283333,79.0,scitime 
Linux-Xenial,3.6,amd64,2.0,0.283333,88.0,scitime 
Linux-Xenial,3.7,amd64,2.0,0.283333,81.0,scitime 
Linux-Bionic,3.7,amd64,2.0,0.283333,73.0,scitime 
Linux-Focal,3.7,amd64,2.0,0.283333,74.0,scitime 
Linux-Xenial,3.7,arm64,2.0,0.2,76.0,scitime 
MacOS,3.7,amd64,2.0,0.233333,115.0,scitime 
Windows,3.7,amd64,2.0,0.233333,182.0,scitime 
Linux-Xenial,3.8,amd64,3.0,0.283333,81.0,scitime 
Linux-Xenial,3.6,amd64,3.0,0.283333,95.0,scitime 
Linux-Xenial,3.7,amd64,3.0,0.283333,79.0,scitime 
Linux-Bionic,3.7,amd64,3.0,0.283333,74.0,scitime 
Linux-Focal,3.7,amd64,3.0,0.283333,73.0,scitime 
Linux-Xenial,3.7,arm64,3.0,0.2,70.0,scitime 
MacOS,3.7,amd64,3.0,0.233333,108.0,scitime 
Windows,3.7,amd64,3.0,0.25,174.0,scitime 
Linux-Xenial,3.8,amd64,4.0,0.283333,81.0,scitime 
Linux-Xenial,3.6,amd64,4.0,0.283333,89.0,scitime 
Linux-Xenial,3.7,amd64,4.0,0.283333,81.0,scitime 
Linux-Bionic,3.7,amd64,4.0,0.283333,73.0,scitime 
Linux-Focal,3.7,amd64,4.0,0.283333,74.0,scitime 
Linux-Xenial,3.7,arm64,4.0,0.2,72.0,scitime 
MacOS,3.7,amd64,4.0,0.233333,111.0,scitime 
Windows,3.7,amd64,4.0,0.25,189.0,scitime 
Linux-Xenial,3.8,amd64,5.0,0.283333,79.0,scitime 
Linux-Xenial,3.6,amd64,5.0,0.283333,86.0,scitime 
Linux-Xenial,3.7,amd64,5.0,0.283333,82.0,scitime 
Linux-Bionic,3.7,amd64,5.0,0.283333,75.0,scitime 
Linux-Focal,3.7,amd64,5.0,0.283333,74.0,scitime 
Linux-Xenial,3.7,arm64,5.0,0.2,72.0,scitime 
MacOS,3.7,amd64,5.0,0.233333,113.0,scitime 
Windows,3.7,amd64,5.0,0.25,189.0,scitime 
Linux-Xenial,3.8,amd64,6.0,0.283333,81.0,scitime 
Linux-Xenial,3.6,amd64,6.0,0.283333,90.0,scitime 
Linux-Xenial,3.7,amd64,6.0,0.283333,80.0,scitime 
Linux-Bionic,3.7,amd64,6.0,0.283333,72.0,scitime 
Linux-Focal,3.7,amd64,6.0,0.283333,73.0,scitime 
Linux-Xenial,3.7,arm64,6.0,0.2,71.0,scitime 
MacOS,3.7,amd64,6.0,0.233333,117.0,scitime 
Windows,3.7,amd64,6.0,0.25,182.0,scitime 
Linux-Xenial,3.8,amd64,7.0,0.283333,82.0,scitime 
Linux-Xenial,3.6,amd64,7.0,0.283333,89.0,scitime 
Linux-Xenial,3.7,amd64,7.0,0.283333,82.0,scitime 
Linux-Bionic,3.7,amd64,7.0,0.283333,74.0,scitime 
Linux-Focal,3.7,amd64,7.0,0.283333,74.0,scitime 
Linux-Xenial,3.7,arm64,7.0,0.2,70.0,scitime 
MacOS,3.7,amd64,7.0,0.233333,115.0,scitime 
Windows,3.7,amd64,7.0,0.25,172.0,scitime 
