OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.996967,49.0,seglearn
Linux-Xenial,3.6,amd64,1.0,0.996967,53.0,seglearn
Linux-Xenial,3.7,amd64,1.0,0.996967,44.0,seglearn
Linux-Bionic,3.7,amd64,1.0,0.996967,42.0,seglearn
Linux-Focal,3.7,amd64,1.0,0.996967,44.0,seglearn
Linux-Xenial,3.7,arm64,1.0,0.996967,91.0,seglearn
MacOS,3.7,amd64,1.0,0.996967,93.0,seglearn
Windows,3.7,amd64,1.0,0.996967,106.0,seglearn
Linux-Xenial,3.8,amd64,2.0,0.996967,45.0,seglearn
Linux-Xenial,3.6,amd64,2.0,0.996967,52.0,seglearn
Linux-Xenial,3.7,amd64,2.0,0.996967,44.0,seglearn
Linux-Bionic,3.7,amd64,2.0,0.996967,44.0,seglearn
Linux-Focal,3.7,amd64,2.0,0.996967,43.0,seglearn
Linux-Xenial,3.7,arm64,2.0,0.996967,78.0,seglearn
MacOS,3.7,amd64,2.0,0.996967,94.0,seglearn
Windows,3.7,amd64,2.0,0.996967,104.0,seglearn
Linux-Xenial,3.8,amd64,3.0,0.996967,44.0,seglearn
Linux-Xenial,3.6,amd64,3.0,0.996967,57.0,seglearn
Linux-Xenial,3.7,amd64,3.0,0.996967,46.0,seglearn
Linux-Bionic,3.7,amd64,3.0,0.996967,43.0,seglearn
Linux-Focal,3.7,amd64,3.0,0.996967,45.0,seglearn
Linux-Xenial,3.7,arm64,3.0,0.996967,79.0,seglearn
MacOS,3.7,amd64,3.0,0.996967,98.0,seglearn
Windows,3.7,amd64,3.0,0.996967,103.0,seglearn
Linux-Xenial,3.8,amd64,4.0,0.996967,45.0,seglearn
Linux-Xenial,3.6,amd64,4.0,0.996967,50.0,seglearn
Linux-Xenial,3.7,amd64,4.0,0.996967,44.0,seglearn
Linux-Bionic,3.7,amd64,4.0,0.996967,44.0,seglearn
Linux-Focal,3.7,amd64,4.0,0.996967,45.0,seglearn
Linux-Xenial,3.7,arm64,4.0,0.996967,80.0,seglearn
MacOS,3.7,amd64,4.0,0.996967,93.0,seglearn
Windows,3.7,amd64,4.0,0.996967,107.0,seglearn
Linux-Xenial,3.8,amd64,5.0,0.996967,48.0,seglearn
Linux-Xenial,3.6,amd64,5.0,0.996967,49.0,seglearn
Linux-Xenial,3.7,amd64,5.0,0.996967,44.0,seglearn
Linux-Bionic,3.7,amd64,5.0,0.996967,45.0,seglearn
Linux-Focal,3.7,amd64,5.0,0.996967,43.0,seglearn
Linux-Xenial,3.7,arm64,5.0,0.996967,87.0,seglearn
MacOS,3.7,amd64,5.0,0.996967,98.0,seglearn
Windows,3.7,amd64,5.0,0.996967,105.0,seglearn
