OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.533,372.0,setka
Linux-Xenial,3.6,amd64,1.0,0.567667,2081.0,setka
Linux-Xenial,3.7,amd64,1.0,0.131333,341.0,setka
Linux-Bionic,3.7,amd64,1.0,0.306,336.0,setka
Linux-Focal,3.7,amd64,1.0,0.28,345.0,setka
Linux-Xenial,3.7,arm64,1.0,0.591333,367.0,setka
MacOS,3.7,amd64,1.0,0.179,3969.0,setka
Windows,3.7,amd64,1.0,0.422667,507.0,setka
Linux-Xenial,3.8,amd64,2.0,0.37,372.0,setka
Linux-Xenial,3.6,amd64,2.0,0.606,2022.0,setka
Linux-Xenial,3.7,amd64,2.0,0.437,336.0,setka
Linux-Bionic,3.7,amd64,2.0,0.325,336.0,setka
Linux-Focal,3.7,amd64,2.0,0.508,329.0,setka
Linux-Xenial,3.7,arm64,2.0,0.410667,351.0,setka
MacOS,3.7,amd64,2.0,0.308667,4259.0,setka
Windows,3.7,amd64,2.0,0.465667,506.0,setka
Linux-Xenial,3.8,amd64,3.0,0.475667,393.0,setka
Linux-Xenial,3.6,amd64,3.0,0.340667,2041.0,setka
Linux-Xenial,3.7,amd64,3.0,0.371333,327.0,setka
Linux-Bionic,3.7,amd64,3.0,0.546,329.0,setka
Linux-Focal,3.7,amd64,3.0,0.513333,345.0,setka
Linux-Xenial,3.7,arm64,3.0,0.396667,365.0,setka
MacOS,3.7,amd64,3.0,0.335333,4125.0,setka
Windows,3.7,amd64,3.0,0.172333,512.0,setka
Linux-Xenial,3.8,amd64,4.0,0.433333,354.0,setka
Linux-Xenial,3.6,amd64,4.0,0.385,2028.0,setka
Linux-Xenial,3.7,amd64,4.0,0.403,327.0,setka
Linux-Bionic,3.7,amd64,4.0,0.163,324.0,setka
Linux-Focal,3.7,amd64,4.0,0.491,334.0,setka
Linux-Xenial,3.7,arm64,4.0,0.269333,341.0,setka
MacOS,3.7,amd64,4.0,0.624667,4212.0,setka
Windows,3.7,amd64,4.0,0.471,504.0,setka
Linux-Xenial,3.8,amd64,5.0,0.408667,358.0,setka
Linux-Xenial,3.6,amd64,5.0,0.274667,1976.0,setka
Linux-Xenial,3.7,amd64,5.0,0.473,328.0,setka
Linux-Bionic,3.7,amd64,5.0,0.430333,331.0,setka
Linux-Focal,3.7,amd64,5.0,0.430333,341.0,setka
Linux-Xenial,3.7,arm64,5.0,0.209667,359.0,setka
MacOS,3.7,amd64,5.0,0.348333,3971.0,setka
Windows,3.7,amd64,5.0,0.277,569.0,setka
Linux-Xenial,3.8,amd64,6.0,0.373,361.0,setka
Linux-Xenial,3.6,amd64,6.0,0.400333,1974.0,setka
Linux-Xenial,3.7,amd64,6.0,0.540333,336.0,setka
Linux-Bionic,3.7,amd64,6.0,0.566,336.0,setka
Linux-Focal,3.7,amd64,6.0,0.295333,329.0,setka
Linux-Xenial,3.7,arm64,6.0,0.252,355.0,setka
MacOS,3.7,amd64,6.0,0.422333,4075.0,setka
Windows,3.7,amd64,6.0,0.222667,572.0,setka
Linux-Xenial,3.8,amd64,7.0,0.413333,353.0,setka
Linux-Xenial,3.6,amd64,7.0,0.426667,2028.0,setka
Linux-Xenial,3.7,amd64,7.0,0.235333,333.0,setka
Linux-Bionic,3.7,amd64,7.0,0.348,329.0,setka
Linux-Focal,3.7,amd64,7.0,0.418333,336.0,setka
Linux-Xenial,3.7,arm64,7.0,0.187667,352.0,setka
MacOS,3.7,amd64,7.0,0.496,4106.0,setka
Windows,3.7,amd64,7.0,0.311,509.0,setka
Linux-Xenial,3.8,amd64,8.0,0.328667,352.0,setka
Linux-Xenial,3.6,amd64,8.0,0.365,2154.0,setka
Linux-Xenial,3.7,amd64,8.0,0.327667,336.0,setka
Linux-Bionic,3.7,amd64,8.0,0.292667,332.0,setka
Linux-Focal,3.7,amd64,8.0,0.312,343.0,setka
Linux-Xenial,3.7,arm64,8.0,0.478333,364.0,setka
MacOS,3.7,amd64,8.0,0.398667,4133.0,setka
Windows,3.7,amd64,8.0,0.42,568.0,setka
Linux-Xenial,3.8,amd64,9.0,0.394667,350.0,setka
Linux-Xenial,3.6,amd64,9.0,0.505,2130.0,setka
Linux-Xenial,3.7,amd64,9.0,0.23,335.0,setka
Linux-Bionic,3.7,amd64,9.0,0.367667,326.0,setka
Linux-Focal,3.7,amd64,9.0,0.293667,359.0,setka
Linux-Xenial,3.7,arm64,9.0,0.379667,344.0,setka
MacOS,3.7,amd64,9.0,0.568,4154.0,setka
