OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.999522,467.0,sherpa
Linux-Xenial,3.6,amd64,1.0,0.999579,481.0,sherpa
Linux-Xenial,3.7,amd64,1.0,0.997377,467.0,sherpa
Linux-Bionic,3.7,amd64,1.0,0.98992,469.0,sherpa
Linux-Focal,3.7,amd64,1.0,0.999213,482.0,sherpa
Linux-Xenial,3.7,arm64,1.0,0.999849,569.0,sherpa
MacOS,3.7,amd64,1.0,0.999907,562.0,sherpa
Windows,3.7,amd64,1.0,0.998485,518.0,sherpa
Linux-Xenial,3.8,amd64,2.0,0.993921,469.0,sherpa
Linux-Xenial,3.6,amd64,2.0,0.999696,483.0,sherpa
Linux-Xenial,3.7,amd64,2.0,0.99959,467.0,sherpa
Linux-Bionic,3.7,amd64,2.0,0.996375,471.0,sherpa
Linux-Focal,3.7,amd64,2.0,0.99827,482.0,sherpa
Linux-Xenial,3.7,arm64,2.0,0.999292,551.0,sherpa
MacOS,3.7,amd64,2.0,0.990189,554.0,sherpa
Windows,3.7,amd64,2.0,0.995801,523.0,sherpa
Linux-Xenial,3.8,amd64,3.0,0.998701,470.0,sherpa
Linux-Xenial,3.6,amd64,3.0,0.991186,481.0,sherpa
Linux-Xenial,3.7,amd64,3.0,0.991201,471.0,sherpa
Linux-Bionic,3.7,amd64,3.0,0.988729,470.0,sherpa
Linux-Focal,3.7,amd64,3.0,0.996648,479.0,sherpa
Linux-Xenial,3.7,arm64,3.0,0.998872,577.0,sherpa
MacOS,3.7,amd64,3.0,0.998126,552.0,sherpa
Windows,3.7,amd64,3.0,0.990978,518.0,sherpa
Linux-Xenial,3.8,amd64,4.0,0.999634,471.0,sherpa
Linux-Xenial,3.6,amd64,4.0,0.998095,477.0,sherpa
Linux-Xenial,3.7,amd64,4.0,0.987778,469.0,sherpa
Linux-Bionic,3.7,amd64,4.0,0.996087,470.0,sherpa
Linux-Focal,3.7,amd64,4.0,0.989903,481.0,sherpa
Linux-Xenial,3.7,arm64,4.0,0.996095,584.0,sherpa
MacOS,3.7,amd64,4.0,0.996159,561.0,sherpa
Windows,3.7,amd64,4.0,0.999266,515.0,sherpa
Linux-Xenial,3.8,amd64,5.0,0.999439,468.0,sherpa
Linux-Xenial,3.6,amd64,5.0,0.99973,479.0,sherpa
Linux-Xenial,3.7,amd64,5.0,0.998582,470.0,sherpa
Linux-Bionic,3.7,amd64,5.0,0.996682,470.0,sherpa
Linux-Focal,3.7,amd64,5.0,0.999086,479.0,sherpa
Linux-Xenial,3.7,arm64,5.0,0.99727,548.0,sherpa
MacOS,3.7,amd64,5.0,0.999553,560.0,sherpa
Windows,3.7,amd64,5.0,0.993534,516.0,sherpa
Linux-Xenial,3.8,amd64,6.0,0.998907,468.0,sherpa
Linux-Xenial,3.6,amd64,6.0,0.999802,484.0,sherpa
Linux-Xenial,3.7,amd64,6.0,0.993635,467.0,sherpa
Linux-Bionic,3.7,amd64,6.0,0.999715,471.0,sherpa
Linux-Focal,3.7,amd64,6.0,0.9966,482.0,sherpa
Linux-Xenial,3.7,arm64,6.0,0.976805,581.0,sherpa
MacOS,3.7,amd64,6.0,0.998132,554.0,sherpa
Windows,3.7,amd64,6.0,0.998512,512.0,sherpa
Linux-Xenial,3.8,amd64,7.0,0.995773,468.0,sherpa
Linux-Xenial,3.6,amd64,7.0,0.999672,479.0,sherpa
Linux-Xenial,3.7,amd64,7.0,0.99666,470.0,sherpa
Linux-Bionic,3.7,amd64,7.0,0.999142,475.0,sherpa
Linux-Focal,3.7,amd64,7.0,0.998474,480.0,sherpa
Linux-Xenial,3.7,arm64,7.0,0.982066,586.0,sherpa
MacOS,3.7,amd64,7.0,0.993237,565.0,sherpa
Windows,3.7,amd64,7.0,0.995559,517.0,sherpa
Linux-Xenial,3.8,amd64,8.0,0.999882,469.0,sherpa
Linux-Xenial,3.6,amd64,8.0,0.995778,482.0,sherpa
Linux-Xenial,3.7,amd64,8.0,0.992438,471.0,sherpa
Linux-Bionic,3.7,amd64,8.0,0.978301,472.0,sherpa
Linux-Focal,3.7,amd64,8.0,0.997218,481.0,sherpa
Linux-Xenial,3.7,arm64,8.0,0.987603,565.0,sherpa
MacOS,3.7,amd64,8.0,0.999181,567.0,sherpa
Windows,3.7,amd64,8.0,0.997627,518.0,sherpa
Linux-Xenial,3.8,amd64,9.0,0.997096,467.0,sherpa
Linux-Xenial,3.6,amd64,9.0,0.990427,477.0,sherpa
Linux-Xenial,3.7,amd64,9.0,0.995462,467.0,sherpa
Linux-Bionic,3.7,amd64,9.0,0.996578,474.0,sherpa
Linux-Focal,3.7,amd64,9.0,0.993115,479.0,sherpa
Linux-Xenial,3.7,arm64,9.0,0.999181,563.0,sherpa
MacOS,3.7,amd64,9.0,0.993127,543.0,sherpa
Windows,3.7,amd64,9.0,0.997259,517.0,sherpa
Linux-Xenial,3.8,amd64,10.0,0.993367,470.0,sherpa
Linux-Xenial,3.6,amd64,10.0,0.995005,477.0,sherpa
Linux-Xenial,3.7,amd64,10.0,0.990607,470.0,sherpa
Linux-Bionic,3.7,amd64,10.0,0.997131,469.0,sherpa
Linux-Focal,3.7,amd64,10.0,0.982135,484.0,sherpa
Linux-Xenial,3.7,arm64,10.0,0.975462,566.0,sherpa
MacOS,3.7,amd64,10.0,0.981838,559.0,sherpa
Windows,3.7,amd64,10.0,0.993542,512.0,sherpa
Linux-Xenial,3.8,amd64,11.0,0.995492,468.0,sherpa
Linux-Xenial,3.6,amd64,11.0,0.999959,485.0,sherpa
Linux-Xenial,3.7,amd64,11.0,0.993179,467.0,sherpa
Linux-Bionic,3.7,amd64,11.0,0.996573,472.0,sherpa
Linux-Focal,3.7,amd64,11.0,0.992358,481.0,sherpa
Linux-Xenial,3.7,arm64,11.0,0.993426,516.0,sherpa
MacOS,3.7,amd64,11.0,0.999439,575.0,sherpa
Windows,3.7,amd64,11.0,0.997556,515.0,sherpa
Linux-Xenial,3.8,amd64,12.0,0.97261,468.0,sherpa
Linux-Xenial,3.6,amd64,12.0,0.999939,476.0,sherpa
Linux-Xenial,3.7,amd64,12.0,0.992077,468.0,sherpa
Linux-Bionic,3.7,amd64,12.0,0.999066,474.0,sherpa
Linux-Focal,3.7,amd64,12.0,0.999459,481.0,sherpa
Linux-Xenial,3.7,arm64,12.0,0.992613,577.0,sherpa
MacOS,3.7,amd64,12.0,0.989987,561.0,sherpa
Windows,3.7,amd64,12.0,0.988526,521.0,sherpa
Linux-Xenial,3.8,amd64,13.0,0.99631,476.0,sherpa
Linux-Xenial,3.6,amd64,13.0,0.994974,477.0,sherpa
Linux-Xenial,3.7,amd64,13.0,0.999405,469.0,sherpa
Linux-Bionic,3.7,amd64,13.0,0.995999,470.0,sherpa
Linux-Focal,3.7,amd64,13.0,0.999766,481.0,sherpa
Linux-Xenial,3.7,arm64,13.0,0.995869,576.0,sherpa
MacOS,3.7,amd64,13.0,0.999967,547.0,sherpa
Windows,3.7,amd64,13.0,0.997601,519.0,sherpa
Linux-Xenial,3.8,amd64,14.0,0.998253,470.0,sherpa
Linux-Xenial,3.6,amd64,14.0,0.994797,479.0,sherpa
Linux-Xenial,3.7,amd64,14.0,0.995738,470.0,sherpa
Linux-Bionic,3.7,amd64,14.0,0.998333,471.0,sherpa
Linux-Focal,3.7,amd64,14.0,0.999774,482.0,sherpa
Linux-Xenial,3.7,arm64,14.0,0.991835,559.0,sherpa
MacOS,3.7,amd64,14.0,0.996825,561.0,sherpa
Windows,3.7,amd64,14.0,0.989901,512.0,sherpa
Linux-Xenial,3.8,amd64,15.0,0.994421,471.0,sherpa
Linux-Xenial,3.6,amd64,15.0,0.991146,480.0,sherpa
Linux-Xenial,3.7,amd64,15.0,0.996777,468.0,sherpa
Linux-Bionic,3.7,amd64,15.0,0.999482,474.0,sherpa
Linux-Focal,3.7,amd64,15.0,0.997979,483.0,sherpa
Linux-Xenial,3.7,arm64,15.0,0.995895,515.0,sherpa
MacOS,3.7,amd64,15.0,0.997138,562.0,sherpa
Windows,3.7,amd64,15.0,0.985337,518.0,sherpa
Linux-Xenial,3.8,amd64,16.0,0.996772,469.0,sherpa
Linux-Xenial,3.6,amd64,16.0,0.987959,479.0,sherpa
Linux-Xenial,3.7,amd64,16.0,0.998457,469.0,sherpa
Linux-Bionic,3.7,amd64,16.0,0.99955,471.0,sherpa
Linux-Focal,3.7,amd64,16.0,0.994588,485.0,sherpa
Linux-Xenial,3.7,arm64,16.0,0.9963,563.0,sherpa
MacOS,3.7,amd64,16.0,0.994842,568.0,sherpa
Windows,3.7,amd64,16.0,0.994235,521.0,sherpa
Linux-Xenial,3.8,amd64,17.0,0.996268,468.0,sherpa
Linux-Xenial,3.6,amd64,17.0,0.994929,479.0,sherpa
Linux-Xenial,3.7,amd64,17.0,0.981613,469.0,sherpa
Linux-Bionic,3.7,amd64,17.0,0.995777,474.0,sherpa
Linux-Focal,3.7,amd64,17.0,0.9978,482.0,sherpa
Linux-Xenial,3.7,arm64,17.0,0.99925,583.0,sherpa
MacOS,3.7,amd64,17.0,0.999482,569.0,sherpa
Windows,3.7,amd64,17.0,0.997909,515.0,sherpa
Linux-Xenial,3.8,amd64,18.0,0.995133,469.0,sherpa
Linux-Xenial,3.6,amd64,18.0,0.998643,480.0,sherpa
Linux-Xenial,3.7,amd64,18.0,0.997668,468.0,sherpa
