OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.922222,193.0,smote_variants
Linux-Xenial,3.6,amd64,1.0,0.922222,192.0,smote_variants
Linux-Xenial,3.7,amd64,1.0,0.922222,122.0,smote_variants
Linux-Bionic,3.7,amd64,1.0,0.922222,108.0,smote_variants
Linux-Focal,3.7,amd64,1.0,0.922222,172.0,smote_variants
Linux-Xenial,3.7,arm64,1.0,0.922222,109.0,smote_variants
MacOS,3.7,amd64,1.0,0.922222,162.0,smote_variants
Windows,3.7,amd64,1.0,0.922222,216.0,smote_variants
Linux-Xenial,3.8,amd64,2.0,0.922222,123.0,smote_variants
Linux-Xenial,3.6,amd64,2.0,0.922222,82.0,smote_variants
Linux-Xenial,3.7,amd64,2.0,0.922222,112.0,smote_variants
Linux-Bionic,3.7,amd64,2.0,0.922222,209.0,smote_variants
Linux-Focal,3.7,amd64,2.0,0.922222,79.0,smote_variants
Linux-Xenial,3.7,arm64,2.0,0.922222,144.0,smote_variants
MacOS,3.7,amd64,2.0,0.922222,177.0,smote_variants
Windows,3.7,amd64,2.0,0.922222,163.0,smote_variants
Linux-Xenial,3.8,amd64,3.0,0.922222,161.0,smote_variants
Linux-Xenial,3.6,amd64,3.0,0.922222,218.0,smote_variants
Linux-Xenial,3.7,amd64,3.0,0.922222,77.0,smote_variants
Linux-Bionic,3.7,amd64,3.0,0.922222,84.0,smote_variants
Linux-Focal,3.7,amd64,3.0,0.922222,198.0,smote_variants
Linux-Xenial,3.7,arm64,3.0,0.922222,174.0,smote_variants
MacOS,3.7,amd64,3.0,0.922222,166.0,smote_variants
Windows,3.7,amd64,3.0,0.922222,275.0,smote_variants
Linux-Xenial,3.8,amd64,4.0,0.922222,73.0,smote_variants
Linux-Xenial,3.6,amd64,4.0,0.922222,84.0,smote_variants
Linux-Xenial,3.7,amd64,4.0,0.922222,136.0,smote_variants
Linux-Bionic,3.7,amd64,4.0,0.922222,93.0,smote_variants
Linux-Focal,3.7,amd64,4.0,0.922222,92.0,smote_variants
Linux-Xenial,3.7,arm64,4.0,0.922222,122.0,smote_variants
MacOS,3.7,amd64,4.0,0.922222,226.0,smote_variants
Windows,3.7,amd64,4.0,0.922222,149.0,smote_variants
Linux-Xenial,3.8,amd64,5.0,0.922222,87.0,smote_variants
