OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.933454,142.0,spotlight
Linux-Xenial,3.6,amd64,1.0,0.940744,89.0,spotlight
Linux-Xenial,3.7,amd64,1.0,0.933322,107.0,spotlight
Linux-Bionic,3.7,amd64,1.0,0.947727,100.0,spotlight
Linux-Focal,3.7,amd64,1.0,0.948213,101.0,spotlight
Linux-Xenial,3.7,arm64,1.0,0.941071,54.0,spotlight
MacOS,3.7,amd64,1.0,0.937629,118.0,spotlight
Windows,3.7,amd64,1.0,0.942344,160.0,spotlight
Linux-Xenial,3.8,amd64,2.0,0.938234,143.0,spotlight
Linux-Xenial,3.6,amd64,2.0,0.931764,84.0,spotlight
Linux-Xenial,3.7,amd64,2.0,0.941011,110.0,spotlight
Linux-Bionic,3.7,amd64,2.0,0.943001,99.0,spotlight
Linux-Focal,3.7,amd64,2.0,0.941805,98.0,spotlight
Linux-Xenial,3.7,arm64,2.0,0.944761,50.0,spotlight
MacOS,3.7,amd64,2.0,0.939873,125.0,spotlight
Windows,3.7,amd64,2.0,0.94419,157.0,spotlight
Linux-Xenial,3.8,amd64,3.0,0.946852,138.0,spotlight
Linux-Xenial,3.6,amd64,3.0,0.946278,83.0,spotlight
Linux-Xenial,3.7,amd64,3.0,0.939891,109.0,spotlight
Linux-Bionic,3.7,amd64,3.0,0.935205,99.0,spotlight
Linux-Focal,3.7,amd64,3.0,0.945837,98.0,spotlight
Linux-Xenial,3.7,arm64,3.0,0.938737,55.0,spotlight
MacOS,3.7,amd64,3.0,0.936648,123.0,spotlight
Windows,3.7,amd64,3.0,0.945473,158.0,spotlight
Linux-Xenial,3.8,amd64,4.0,0.94491,140.0,spotlight
Linux-Xenial,3.6,amd64,4.0,0.950395,85.0,spotlight
Linux-Xenial,3.7,amd64,4.0,0.944606,108.0,spotlight
Linux-Bionic,3.7,amd64,4.0,0.944432,100.0,spotlight
Linux-Focal,3.7,amd64,4.0,0.933054,97.0,spotlight
Linux-Xenial,3.7,arm64,4.0,0.937111,51.0,spotlight
MacOS,3.7,amd64,4.0,0.942472,118.0,spotlight
Windows,3.7,amd64,4.0,0.936848,163.0,spotlight
Linux-Xenial,3.8,amd64,5.0,0.945458,139.0,spotlight
Linux-Xenial,3.6,amd64,5.0,0.938571,85.0,spotlight
Linux-Xenial,3.7,amd64,5.0,0.92991,108.0,spotlight
Linux-Bionic,3.7,amd64,5.0,0.947822,100.0,spotlight
