OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.964912,43.0,starboost 
Linux-Xenial,3.6,amd64,1.0,0.973684,52.0,starboost 
Linux-Xenial,3.7,amd64,1.0,0.947368,45.0,starboost 
Linux-Bionic,3.7,amd64,1.0,0.947368,36.0,starboost 
Linux-Focal,3.7,amd64,1.0,0.964912,35.0,starboost 
Linux-Xenial,3.7,arm64,1.0,0.964912,38.0,starboost 
MacOS,3.7,amd64,1.0,0.947368,72.0,starboost 
Windows,3.7,amd64,1.0,0.947368,127.0,starboost 
Linux-Xenial,3.8,amd64,2.0,0.95614,39.0,starboost 
Linux-Xenial,3.6,amd64,2.0,0.947368,49.0,starboost 
Linux-Xenial,3.7,amd64,2.0,0.964912,43.0,starboost 
Linux-Bionic,3.7,amd64,2.0,0.947368,34.0,starboost 
Linux-Focal,3.7,amd64,2.0,0.95614,36.0,starboost 
Linux-Xenial,3.7,arm64,2.0,0.95614,44.0,starboost 
MacOS,3.7,amd64,2.0,0.964912,67.0,starboost 
Windows,3.7,amd64,2.0,0.973684,136.0,starboost 
Linux-Xenial,3.8,amd64,3.0,0.95614,43.0,starboost 
Linux-Xenial,3.6,amd64,3.0,0.95614,49.0,starboost 
Linux-Xenial,3.7,amd64,3.0,0.964912,45.0,starboost 
Linux-Bionic,3.7,amd64,3.0,0.964912,37.0,starboost 
Linux-Focal,3.7,amd64,3.0,0.964912,34.0,starboost 
Linux-Xenial,3.7,arm64,3.0,0.964912,40.0,starboost 
MacOS,3.7,amd64,3.0,0.964912,69.0,starboost 
Windows,3.7,amd64,3.0,0.964912,132.0,starboost 
Linux-Xenial,3.8,amd64,4.0,0.95614,42.0,starboost 
Linux-Xenial,3.6,amd64,4.0,0.947368,50.0,starboost 
Linux-Xenial,3.7,amd64,4.0,0.964912,43.0,starboost 
Linux-Bionic,3.7,amd64,4.0,0.95614,35.0,starboost 
Linux-Focal,3.7,amd64,4.0,0.973684,36.0,starboost 
Linux-Xenial,3.7,arm64,4.0,0.964912,39.0,starboost 
MacOS,3.7,amd64,4.0,0.947368,77.0,starboost 
Windows,3.7,amd64,4.0,0.947368,126.0,starboost 
Linux-Xenial,3.8,amd64,5.0,0.95614,42.0,starboost 
Linux-Xenial,3.6,amd64,5.0,0.947368,51.0,starboost 
Linux-Xenial,3.7,amd64,5.0,0.947368,43.0,starboost 
Linux-Bionic,3.7,amd64,5.0,0.973684,35.0,starboost 
Linux-Focal,3.7,amd64,5.0,0.964912,34.0,starboost 
Linux-Xenial,3.7,arm64,5.0,0.95614,38.0,starboost 
