OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,0.9794,248.0,tfdiffeq
Linux-Xenial,3.6,amd64,1.0,0.9805000000000001,295.0,tfdiffeq
Linux-Xenial,3.7,amd64,1.0,0.9797999999999999,243.0,tfdiffeq
Linux-Bionic,3.7,amd64,1.0,0.9825999999999999,222.0,tfdiffeq
Linux-Focal,3.7,amd64,1.0,0.9795,222.0,tfdiffeq
Linux-Xenial,3.7,arm64,1.0,0.9776,272.0,tfdiffeq
MacOS,3.7,amd64,1.0,0.9787,635.0,tfdiffeq
Windows,3.7,amd64,1.0,0.9797999999999999,548.0,tfdiffeq
Linux-Xenial,3.8,amd64,2.0,0.979,242.0,tfdiffeq
Linux-Xenial,3.6,amd64,2.0,0.976,294.0,tfdiffeq
Linux-Xenial,3.7,amd64,2.0,0.9797,233.0,tfdiffeq
Linux-Bionic,3.7,amd64,2.0,0.9822,217.0,tfdiffeq
Linux-Focal,3.7,amd64,2.0,0.9778,245.0,tfdiffeq
Linux-Xenial,3.7,arm64,2.0,0.9797999999999999,329.0,tfdiffeq
MacOS,3.7,amd64,2.0,0.9757999999999999,650.0,tfdiffeq
Windows,3.7,amd64,2.0,0.9788,539.0,tfdiffeq
Linux-Xenial,3.8,amd64,3.0,0.9806,241.0,tfdiffeq
Linux-Xenial,3.6,amd64,3.0,0.9803,295.0,tfdiffeq
Linux-Xenial,3.7,amd64,3.0,0.9783,231.0,tfdiffeq
Linux-Bionic,3.7,amd64,3.0,0.9757999999999999,231.0,tfdiffeq
Linux-Focal,3.7,amd64,3.0,0.9803,219.0,tfdiffeq
Linux-Xenial,3.7,arm64,3.0,0.9714,268.0,tfdiffeq
MacOS,3.7,amd64,3.0,0.9812,568.0,tfdiffeq
Windows,3.7,amd64,3.0,0.9825,548.0,tfdiffeq
Linux-Xenial,3.8,amd64,4.0,0.9764,240.0,tfdiffeq
Linux-Xenial,3.6,amd64,4.0,0.9821,294.0,tfdiffeq
Linux-Xenial,3.7,amd64,4.0,0.9802,241.0,tfdiffeq
Linux-Bionic,3.7,amd64,4.0,0.9791,220.0,tfdiffeq
Linux-Focal,3.7,amd64,4.0,0.9794,245.0,tfdiffeq
Linux-Xenial,3.7,arm64,4.0,0.9827,263.0,tfdiffeq
MacOS,3.7,amd64,4.0,0.9797,596.0,tfdiffeq
Windows,3.7,amd64,4.0,0.9788999999999999,547.0,tfdiffeq
Linux-Xenial,3.8,amd64,5.0,0.8786999999999999,242.0,tfdiffeq
Linux-Xenial,3.6,amd64,5.0,0.9816999999999999,302.0,tfdiffeq
Linux-Xenial,3.7,amd64,5.0,0.9781,235.0,tfdiffeq
Linux-Bionic,3.7,amd64,5.0,0.9781,219.0,tfdiffeq
Linux-Focal,3.7,amd64,5.0,0.9809,226.0,tfdiffeq
Linux-Xenial,3.7,arm64,5.0,0.9753,265.0,tfdiffeq
MacOS,3.7,amd64,5.0,0.9808000000000001,555.0,tfdiffeq
Windows,3.7,amd64,5.0,0.9781,622.0,tfdiffeq
Linux-Xenial,3.8,amd64,6.0,0.9785,252.0,tfdiffeq
Linux-Xenial,3.6,amd64,6.0,0.9779,284.0,tfdiffeq
Linux-Xenial,3.7,amd64,6.0,0.9777000000000001,225.0,tfdiffeq
Linux-Bionic,3.7,amd64,6.0,0.9836000000000001,223.0,tfdiffeq
Linux-Focal,3.7,amd64,6.0,0.9771,241.0,tfdiffeq
Linux-Xenial,3.7,arm64,6.0,0.9803,271.0,tfdiffeq
MacOS,3.7,amd64,6.0,0.9775,637.0,tfdiffeq
Windows,3.7,amd64,6.0,0.9803,544.0,tfdiffeq
Linux-Xenial,3.8,amd64,7.0,0.9785,242.0,tfdiffeq
Linux-Xenial,3.6,amd64,7.0,0.9783,298.0,tfdiffeq
Linux-Xenial,3.7,amd64,7.0,0.9784000000000002,233.0,tfdiffeq
Linux-Bionic,3.7,amd64,7.0,0.9768000000000001,224.0,tfdiffeq
Linux-Focal,3.7,amd64,7.0,0.9791,266.0,tfdiffeq
Linux-Xenial,3.7,arm64,7.0,0.9757999999999999,269.0,tfdiffeq
MacOS,3.7,amd64,7.0,0.9772999999999998,538.0,tfdiffeq
Windows,3.7,amd64,7.0,0.9779,555.0,tfdiffeq
Linux-Xenial,3.8,amd64,8.0,0.9767,253.0,tfdiffeq
Linux-Xenial,3.6,amd64,8.0,0.9795,283.0,tfdiffeq
Linux-Xenial,3.7,amd64,8.0,0.9797999999999999,232.0,tfdiffeq
Linux-Bionic,3.7,amd64,8.0,0.9696,218.0,tfdiffeq
Linux-Focal,3.7,amd64,8.0,0.9799,224.0,tfdiffeq
Linux-Xenial,3.7,arm64,8.0,0.9805000000000001,273.0,tfdiffeq
MacOS,3.7,amd64,8.0,0.9788,551.0,tfdiffeq
Windows,3.7,amd64,8.0,0.9783,554.0,tfdiffeq
Linux-Xenial,3.8,amd64,9.0,0.9831,240.0,tfdiffeq
Linux-Xenial,3.6,amd64,9.0,0.9772999999999998,283.0,tfdiffeq
Linux-Xenial,3.7,amd64,9.0,0.9792000000000001,228.0,tfdiffeq
Linux-Bionic,3.7,amd64,9.0,0.9783,226.0,tfdiffeq
Linux-Focal,3.7,amd64,9.0,0.9784000000000002,228.0,tfdiffeq
Linux-Xenial,3.7,arm64,9.0,0.9791,310.0,tfdiffeq
MacOS,3.7,amd64,9.0,0.9812,445.0,tfdiffeq
Windows,3.7,amd64,9.0,0.9795,547.0,tfdiffeq
Linux-Xenial,3.8,amd64,10.0,0.9757,245.0,tfdiffeq
Linux-Xenial,3.6,amd64,10.0,0.9772999999999998,286.0,tfdiffeq
Linux-Xenial,3.7,amd64,10.0,0.9783,239.0,tfdiffeq
Linux-Bionic,3.7,amd64,10.0,0.9821,216.0,tfdiffeq
Linux-Focal,3.7,amd64,10.0,0.9764,225.0,tfdiffeq
Linux-Xenial,3.7,arm64,10.0,0.9852999999999998,268.0,tfdiffeq
MacOS,3.7,amd64,10.0,0.9788999999999999,610.0,tfdiffeq
Windows,3.7,amd64,10.0,0.9819,544.0,tfdiffeq
Linux-Xenial,3.8,amd64,11.0,0.9769,256.0,tfdiffeq
Linux-Xenial,3.6,amd64,11.0,0.9769999999999999,286.0,tfdiffeq
Linux-Xenial,3.7,amd64,11.0,0.9802,233.0,tfdiffeq
Linux-Bionic,3.7,amd64,11.0,0.9760999999999999,228.0,tfdiffeq
Linux-Focal,3.7,amd64,11.0,0.9803,227.0,tfdiffeq
Linux-Xenial,3.7,arm64,11.0,0.9805000000000001,332.0,tfdiffeq
