Project,URL,commits,forks,stars,contributors
HDI-Project/ATM,https://github.com/HDI-Project/ATM,775,140,523,13
duxuhao/Feature-Selection,https://github.com/duxuhao/Feature-Selection,98,202,669,4
eyounx/ZOOpt,https://github.com/eyounx/ZOOpt,364,100,392,8
lucasmaystre/choix,https://github.com/lucasmaystre/choix,77,27,153,3
mackelab/delfi,https://github.com/mackelab/delfi,120,28,71,7
ibrahimsharaf/doc2vec,https://github.com/ibrahimsharaf/doc2vec,29,43,104,5
raphaelvallat/entropy,https://github.com/raphaelvallat/entropy,106,47,153,2
gbolmier/funk-svd,https://github.com/gbolmier/funk-svd,50,65,206,4
HealthCatalyst/healthcareai-py,https://github.com/HealthCatalyst/healthcareai-py,929,185,308,17
beringresearch/ivis,https://github.com/beringresearch/ivis,634,43,318,8
wittawatj/kernel-gof,https://github.com/wittawatj/kernel-gof,128,16,65,2
zuoxingdong/lagom,https://github.com/zuoxingdong/lagom,703,31,373,5
Erotemic/netharn,https://github.com/Erotemic/netharn,366,9,39,4
pescadores/pescador,https://github.com/pescadores/pescador,466,12,75,8
ParrotPrediction/pyalcs,https://github.com/ParrotPrediction/pyalcs,279,15,9,8
glm-tools/pyglmnet,https://github.com/glm-tools/pyglmnet,859,83,278,25
ealcobaca/pymfe,https://github.com/ealcobaca/pymfe,1361,27,121,5
jkoutsikakis/pytorch-wrapper,https://github.com/jkoutsikakis/pytorch-wrapper,28,18,93,1
amoussawi/recoder,https://github.com/amoussawi/recoder,196,7,55,3
fdtomasi/regain,https://github.com/fdtomasi/regain,728,12,28,3
kLabUM/rrcf,https://github.com/kLabUM/rrcf,266,111,488,7
scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,1570,548,2732,67
scitime/scitime,https://github.com/scitime/scitime,514,12,123,3
dmbee/seglearn,https://github.com/dmbee/seglearn,283,64,567,13
RomanovMikeV/setka,https://github.com/RomanovMikeV/setka,402,6,19,3
sherpa-ai/sherpa,https://github.com/sherpa-ai/sherpa,823,53,329,14
analyticalmindsltd/smote_variants,https://github.com/analyticalmindsltd/smote_variants,498,138,606,5
maciejkula/spotlight,https://github.com/maciejkula/spotlight,299,421,2949,10
MaxHalford/starboost,https://github.com/MaxHalford/starboost,13,10,26,1
titu1994/tfdiffeq,https://github.com/titu1994/tfdiffeq,156,52,215,3
