,Project,Metric,os_mac,os_windows,dist_bionic,dist_focal,hw_arm64,py_3_6,py_3_8
0,seglearn,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,seglearn,Processing_Time,114.67931345980126,133.83017163504968,0.9033423667570067,-0.13550135501355026,121.81571815718155,15.130984643179769,3.5230352303523067
2,seglearn,Expense,973.3965672990065,367.6603432700994,0.9033423667569977,-0.13550135501354726,121.81571815718159,15.130984643179785,3.5230352303523005
3,pymfe,Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,pymfe,Processing_Time,74.31757016532102,177.08573625528646,-16.532103037293357,-15.993848519800084,-4.882737408688966,13.802383698577476,2.037677816224535
5,pymfe,Expense,771.5878508266051,454.1714725105728,-16.532103037293354,-15.993848519800066,-4.882737408688971,13.802383698577477,2.03767781622452
6,netharn ,Score,1.9934273112513885,-4.272247686586523,6.771599065986327,1.9112687018939782,-1.279944651042122,5.521923376286432,1.8896480152209627
7,netharn ,Processing_Time,762.0793722649764,54.682360042251396,-5.583220159951717,-0.8389920024143614,79.00407424173835,352.2740304813641,-4.065187867813505
8,netharn ,Expense,4210.3968613248835,209.36472008450284,-5.583220159951704,-0.8389920024143614,79.00407424173834,352.2740304813641,-4.065187867813498
9,kernel-gof,Score,2.6354646836559925,1.038427646182068,0.3151584579959302,-6.596985333365237,-1.8648761576207689,4.967680981872215,1.0851653466282065
10,kernel-gof,Processing_Time,64.81802426343152,193.67417677642976,-18.804159445407283,-16.897746967071072,-5.719237435008685,16.24783362218371,1.7764298093587296
11,kernel-gof,Expense,724.0901213171577,487.3483535528596,-18.804159445407286,-16.897746967071058,-5.719237435008659,16.24783362218371,1.7764298093587527
12,Feature-Selection ,Score,-0.49074818103727175,-0.24501505026911513,0.06651220622155729,0.06651220622155729,0.06651220622155729,-0.04988415466616105,0.5751725063732218
13,Feature-Selection ,Processing_Time,47.49272080232935,126.30216758330637,-14.590747330960852,-13.684891620834671,-4.658686509220311,12.326108055645422,2.00582335813652
14,Feature-Selection ,Expense,637.4636040116468,352.6043351666127,-14.590747330960843,-13.684891620834684,-4.6586865092203045,12.326108055645419,2.005823358136529
15,tfdiffeq,Score,-0.42767686092536383,-0.22159951962941762,-0.199541687260786,-0.03574185800475392,-0.2397768074147012,-0.185857661624675,-0.47567307024602035
